"max(X)","min(X)"
1,0
1,4.2744e-11
1,3.708e-10
1,1.4478e-09
1,3.9493e-09
1,8.7544e-09
1,1.6938e-08
1,2.9763e-08
1,4.8676e-08
1,7.5297e-08
1,1.1142e-07
1,1.5901e-07
1,2.202e-07
1,2.9729e-07
1,3.9274e-07
1,5.0922e-07
1,6.4956e-07
1,8.1681e-07
1,1.0143e-06
1,1.2455e-06
1,1.5145e-06
1,1.8256e-06
1,2.184e-06
1,2.5958e-06
1,3.0685e-06
1,3.6117e-06
1,4.2384e-06
0.99999,4.9663e-06
0.99999,5.8203e-06
0.99999,6.8367e-06
0.99999,8.0694e-06
0.99999,9.6001e-06
0.99999,1.1556e-05
0.99999,1.4139e-05
0.99998,1.7678e-05
0.99998,2.2715e-05
0.99997,3.0162e-05
0.99996,4.158e-05
0.99994,5.9655e-05
0.99991,8.9038e-05
0.99986,0.00013772
0.99978,0.00021911
0.99964,0.00035463
0.99942,0.00057529
0.99908,0.00091843
0.99858,0.0014145
0.99793,0.0020657
0.99717,0.002832
0.99636,0.003644
0.99556,0.0044374
0.99482,0.0051813
0.99412,0.0058833
0.99342,0.0065769
0.9927,0.0073026
0.9919,0.008095
0.99103,0.0089743
0.99006,0.009945
0.989,0.010999
0.98788,0.01212
0.98671,0.013294
0.98549,0.014507
0.98425,0.015752
0.98298,0.017025
0.98168,0.018322
0.98036,0.019637
0.97904,0.020963
0.97771,0.022292
0.97639,0.023614
0.97508,0.02492
0.9738,0.026204
0.97254,0.027463
0.9713,0.028697
0.97009,0.029905
0.96891,0.031092
0.96774,0.032259
0.96659,0.033411
0.96545,0.034551
0.96432,0.035682
0.96319,0.036807
0.96207,0.037931
0.96094,0.039056
0.95982,0.040185
0.95868,0.041322
0.95753,0.04247
0.95637,0.043632
0.95519,0.044813
0.95399,0.046013
0.95276,0.047237
0.95152,0.048484
0.95025,0.049755
0.94895,0.051047
0.94764,0.052358
0.94632,0.05368
0.94499,0.055007
0.94367,0.056327
0.94237,0.05763
0.94109,0.058905
0.93986,0.06014
0.93867,0.061325
0.93755,0.062451
0.93649,0.063511
0.9355,0.0645
0.93458,0.065415
0.93375,0.066255
0.93298,0.067021
0.93229,0.067714
0.93166,0.068339
0.9311,0.068902
0.93059,0.069409
0.93013,0.069867
0.92972,0.070282
0.92934,0.070662
0.92899,0.071011
0.92866,0.071336
0.92836,0.071643
0.92806,0.071941
0.92776,0.072237
0.92746,0.072545
0.92713,0.072874
0.92676,0.07324
0.92635,0.073653
0.92588,0.074124
0.92534,0.07466
0.92474,0.075263
0.92407,0.075931
0.92334,0.076657
0.92257,0.077432
0.92176,0.078242
0.92093,0.079074
0.92009,0.079915
0.91924,0.080757
0.91841,0.081592
0.91758,0.082418
0.91676,0.083238
0.91594,0.084055
0.91513,0.084874
0.9143,0.085699
0.91347,0.086534
0.91262,0.087379
0.91177,0.088231
0.91091,0.089086
0.91006,0.089935
0.90923,0.090767
0.90843,0.09157
0.90767,0.092334
0.90695,0.093052
0.90628,0.093724
0.90564,0.094358
0.90503,0.094971
0.90441,0.095589
0.90376,0.09624
0.90304,0.096957
0.90223,0.097765
0.90131,0.098686
0.90027,0.099732
0.89909,0.10091
0.8978,0.1022
0.8964,0.1036
0.8949,0.1051
0.89333,0.10667
0.89169,0.10831
0.89001,0.10999
0.88828,0.11173
0.8865,0.1135
0.88468,0.11532
0.88282,0.11718
0.88093,0.11907
0.879,0.121
0.87706,0.12294
0.8751,0.1249
0.87316,0.12684
0.87124,0.12876
0.86938,0.13062
0.86758,0.13242
0.86586,0.13414
0.86425,0.13575
0.86275,0.13725
0.86136,0.13864
0.86008,0.13992
0.85889,0.14111
0.85778,0.14222
0.85672,0.14328
0.85568,0.14432
0.85464,0.14536
0.8536,0.1464
0.85254,0.14746
0.85148,0.14852
0.85043,0.14957
0.84942,0.15058
0.84846,0.15154
0.84759,0.15241
0.84681,0.15319
0.84615,0.15385
0.84562,0.15438
0.84522,0.15479
0.84494,0.15506
0.84479,0.15521
0.84476,0.15524
0.84485,0.15515
0.84506,0.15494
0.84538,0.15462
0.84582,0.15418
0.84635,0.15365
0.84697,0.15303
0.84767,0.15233
0.84843,0.15157
0.84923,0.15077
0.85005,0.14995
0.85086,0.14914
0.85164,0.14836
0.85238,0.14762
0.85308,0.14693
0.8537,0.14632
0.85423,0.1458
0.85467,0.14536
0.85502,0.14502
0.85527,0.14478
0.85542,0.14463
0.85549,0.14457
0.85546,0.1446
0.85536,0.1447
0.85519,0.14487
0.85497,0.14509
0.8547,0.14535
0.85441,0.14564
0.8541,0.14594
0.85379,0.14625
0.85351,0.14653
0.85325,0.14678
0.85304,0.14699
0.85289,0.14714
0.85281,0.14722
0.8528,0.14723
0.85288,0.14715
0.85305,0.14698
0.8533,0.14673
0.85365,0.14638
0.85409,0.14594
0.85461,0.14541
0.85523,0.14479
0.85592,0.14409
0.85669,0.14331
0.85754,0.14246
0.85844,0.14155
0.85941,0.14057
0.86044,0.13954
0.86151,0.13846
0.86262,0.13734
0.86377,0.13619
0.86495,0.13502
0.86614,0.13382
0.86734,0.13262
0.86855,0.13142
0.86975,0.13023
0.87092,0.12906
0.87207,0.12792
0.87318,0.12682
0.87423,0.12577
0.87523,0.12477
0.87615,0.12385
0.87699,0.123
0.87774,0.12224
0.87838,0.12158
0.87893,0.12101
0.87937,0.12056
0.87969,0.12021
0.8799,0.11998
0.88,0.11986
0.87998,0.11985
0.87985,0.11996
0.87962,0.12018
0.87927,0.12051
0.87883,0.12094
0.87829,0.12148
0.87765,0.12211
0.87692,0.12284
0.87611,0.12366
0.87522,0.12456
0.87425,0.12555
0.87322,0.12661
0.87212,0.12774
0.87096,0.12894
0.86975,0.13018
0.86848,0.13148
0.86718,0.13283
0.86584,0.1342
0.86446,0.13562
0.86304,0.13706
0.8616,0.13852
0.86012,0.14001
0.85862,0.14153
0.85709,0.14306
0.85554,0.14462
0.85396,0.1462
0.85236,0.1478
0.85074,0.14942
0.84909,0.15107
0.84743,0.15273
0.84575,0.15441
0.84405,0.15611
0.84233,0.15783
0.8406,0.15955
0.83886,0.16129
0.8371,0.16304
0.83534,0.16479
0.83358,0.16654
0.83182,0.1683
0.83005,0.17005
0.82829,0.17179
0.82655,0.17353
0.82481,0.17525
0.82309,0.17696
0.82139,0.17864
0.81971,0.1803
0.81806,0.18193
0.81645,0.18353
0.81487,0.18509
0.81298,0.18697
0.81134,0.18859
0.80983,0.1901
0.80846,0.19147
0.80721,0.19272
0.80609,0.19385
0.80508,0.19486
0.80418,0.19578
0.80336,0.19661
0.80261,0.19737
0.80191,0.19808
0.80126,0.19874
0.80064,0.19938
0.80004,0.19999
0.79946,0.20058
0.7989,0.20115
0.79833,0.20173
0.79778,0.20228
0.79725,0.20283
0.79676,0.20332
0.79624,0.20385
0.79576,0.20434
0.79536,0.20474
0.79484,0.20526
0.79443,0.20566
0.79397,0.20612
0.7936,0.20647
0.7931,0.20694
0.7927,0.20732
0.79222,0.20777
0.79182,0.20813
0.79131,0.2086
0.79088,0.20899
0.79038,0.20945
0.78996,0.20983
0.78947,0.21028
0.78905,0.21065
0.7886,0.21107
0.78822,0.21141
0.78781,0.21179
0.78747,0.21209
0.78709,0.21245
0.78679,0.21272
0.78637,0.21311
0.78604,0.21342
0.78582,0.21362
0.78549,0.21393
0.78527,0.21414
0.78514,0.21425
0.78493,0.21446
0.78482,0.21456
0.78481,0.21456
0.78471,0.21465
0.78472,0.21463
0.78484,0.2145
0.78486,0.21448
0.78498,0.21435
0.78523,0.21409
0.78534,0.21398
0.7856,0.21372
0.78583,0.21349
0.78621,0.21311
0.78643,0.2129
0.78682,0.21251
0.78711,0.21223
0.78756,0.21177
0.78782,0.21151
0.78819,0.21114
0.78871,0.21062
0.78892,0.21041
0.78928,0.21004
0.78979,0.20953
0.78997,0.20934
0.7903,0.20901
0.79078,0.20852
0.79093,0.20836
0.79128,0.20801
0.79152,0.20775
0.79193,0.20733
0.79209,0.20717
0.79244,0.2068
0.79257,0.20666
0.79291,0.20631
0.79295,0.20626
0.79322,0.20598
0.79326,0.20593
0.7934,0.20579
0.79353,0.20564
0.79365,0.20551
0.79377,0.20539
0.79388,0.20527
0.79399,0.20515
0.79406,0.20508
0.79417,0.20497
0.79428,0.20484
0.79441,0.20471
0.79454,0.20457
0.79468,0.20442
0.79481,0.20428
0.79495,0.20413
0.79507,0.20399
0.7952,0.20386
0.7953,0.20376
0.79542,0.20364
0.79552,0.20353
0.79562,0.20343
0.79572,0.20334
