Modes,Err_Mean,Err_2norm,T_Setup,T_Sub,T_RedSol,T_Recov,T_Total
100,NaN,57.323297,1.024713,5.319953,2.396795,0.949185,9.69065
110,NaN,13.510850,0.835919,5.202952,3.432438,1.123213,10.5945
120,NaN,1.764497,0.969032,5.990630,3.130553,0.980359,11.0706
130,NaN,0.372434,1.031706,5.932185,4.291258,1.115187,12.3703
140,NaN,0.145520,0.991522,6.909825,5.055841,1.079446,14.0366
150,NaN,0.121417,0.997733,7.481224,6.162270,1.264101,15.9053
160,NaN,0.105178,0.921703,7.845136,6.130501,0.909897,15.8072
170,NaN,0.092245,0.946944,9.235854,6.378199,1.193450,17.7544
180,NaN,0.082443,0.875700,8.990757,6.979637,0.926018,17.7721
190,NaN,0.073983,0.933128,9.334278,7.683469,0.892166,18.843
200,NaN,0.067025,1.033551,11.734427,7.373787,1.158617,21.3004
210,NaN,0.061495,0.950513,13.229442,7.644012,0.965491,22.7895
220,NaN,0.056586,0.922077,12.247770,14.035085,1.189159,28.3941
230,NaN,0.052053,0.946899,15.960955,13.680629,1.261791,31.8503
240,NaN,0.048186,0.920901,13.120654,13.548732,0.913826,28.5041
250,NaN,0.044960,0.986243,17.815887,14.223606,1.293665,34.3194
260,NaN,0.042165,0.909959,16.218160,14.296010,1.224050,32.6482
270,NaN,0.039599,0.915268,21.566005,14.502400,1.230813,38.2145
280,NaN,0.037163,0.856588,21.482295,16.390323,1.195518,39.9247
290,NaN,0.034957,1.088423,20.656208,15.687377,1.165152,38.5972
300,NaN,0.032987,0.906670,20.679965,16.357286,0.957085,38.901
310,NaN,0.031181,0.924582,26.258743,18.289337,1.058333,46.531
320,NaN,0.029615,0.922955,23.442283,17.804549,1.205345,43.3751
330,NaN,0.028149,0.926622,32.751094,18.149242,1.262942,53.0899
340,NaN,0.026795,0.935447,29.067715,20.002935,1.253642,51.2597
350,NaN,0.025536,0.909105,26.631149,21.479107,1.242262,50.2616
360,NaN,0.024155,1.010596,40.405445,20.880412,1.140878,63.4373
370,NaN,0.023001,0.946655,33.989255,20.889262,1.251491,57.0767
380,NaN,0.021937,0.967989,37.677634,22.047668,0.922687,61.616
390,NaN,0.021030,0.988584,34.754556,25.154776,1.110274,62.0082
400,NaN,0.020171,0.918109,46.215695,21.832526,1.007480,69.9738
410,NaN,0.019365,0.932892,29.349908,32.922971,1.099240,64.305
420,NaN,0.018502,1.038039,47.204830,37.851720,1.178330,87.2729
430,NaN,0.017807,0.988125,37.697621,36.079352,1.019020,75.7841
440,NaN,0.017159,0.894254,59.227662,38.243480,1.127468,99.4929
450,NaN,0.016518,1.074305,48.492743,38.663503,0.967135,89.1977
460,NaN,0.015925,0.982894,54.884221,43.618979,1.244696,100.731
470,NaN,0.015369,1.087541,56.308222,44.416166,1.142527,102.954
480,NaN,0.014854,0.961220,51.084798,45.910503,1.327308,99.2838
490,NaN,0.014326,0.951324,55.843241,45.927350,1.400351,104.122
500,NaN,0.013856,0.866502,60.649446,48.688199,0.971875,111.176
510,NaN,0.013460,0.996191,63.583619,52.429921,0.954520,117.964
520,NaN,0.013074,0.937728,70.744158,49.907843,0.985925,122.576
530,NaN,0.012663,0.892768,56.072648,53.243199,1.015210,111.224
540,NaN,0.012316,0.853431,72.535161,53.465852,1.192687,128.047
550,NaN,0.011933,0.933002,70.716214,58.256439,1.285367,131.191
560,NaN,0.011613,0.857101,67.686236,58.164391,1.273228,127.981
570,NaN,0.011311,0.942422,68.361923,59.148349,0.961943,129.415
580,NaN,0.011002,0.955261,75.877631,61.451379,1.013006,139.297
590,NaN,0.010700,0.910616,89.488632,65.026720,1.045205,156.471
600,NaN,0.010410,1.026551,89.553609,60.365795,1.349902,152.296
610,NaN,0.010141,1.033131,87.497274,68.028030,1.335862,157.894
620,NaN,0.009906,0.889547,95.927392,74.774114,1.282461,172.874
630,NaN,0.009649,0.950963,82.952393,67.192016,1.451608,152.547
640,NaN,0.009385,0.945684,78.722573,64.655702,1.547710,145.872
650,NaN,0.009142,0.861454,131.180653,69.710527,1.376962,203.13
660,NaN,0.008919,0.934201,107.971199,66.866944,1.281959,177.054
670,NaN,0.008726,0.897087,128.962380,71.611390,1.277083,202.748
680,NaN,0.008520,0.937913,109.799893,73.946168,1.054388,185.738
690,NaN,0.008326,1.046734,96.157412,74.832490,0.966259,173.003
700,NaN,0.008114,1.027721,121.136688,71.377492,1.123807,194.666
710,NaN,0.007931,0.943493,108.417081,78.315141,1.089949,188.766
720,NaN,0.007746,1.027690,112.351464,80.614986,1.027170,195.021
730,NaN,0.007578,1.000497,91.369044,83.216858,1.089539,176.676
740,NaN,0.007432,1.038067,118.354028,82.481775,1.040794,202.915
750,NaN,0.007273,1.037605,123.017795,84.025476,1.095573,209.176
760,NaN,0.007132,1.007335,161.985182,82.473328,1.123677,246.59
770,NaN,0.006982,0.911935,114.735215,89.441683,1.049698,206.139
780,NaN,0.006853,1.013497,130.140223,86.553971,1.145424,218.853
790,NaN,0.006726,0.940667,138.178022,96.347649,1.456425,236.923
800,NaN,0.006593,1.012403,148.576273,100.733409,1.153121,251.475
810,NaN,0.006479,1.074530,144.918353,91.633315,1.233550,238.86
820,NaN,0.006352,1.022565,151.601485,96.767489,1.173770,250.565
830,NaN,0.006230,1.020083,139.159329,93.410665,1.167423,234.758
840,NaN,0.006099,0.883448,148.951254,104.692119,1.127187,255.654
850,NaN,0.005983,0.982093,131.178733,95.932428,1.343160,229.436
860,NaN,0.005868,0.911732,126.852379,100.854867,1.035584,229.655
870,NaN,0.005767,0.910739,225.024481,110.421302,1.158337,337.515
880,NaN,0.005650,0.946874,153.500038,122.202888,1.141299,277.791
890,NaN,0.005546,1.035408,189.120473,119.496261,1.235749,310.888
900,NaN,0.005444,0.975785,181.203544,110.514917,1.398775,294.093
910,NaN,0.005356,0.932845,218.282289,112.501868,1.519380,333.236
920,NaN,0.005270,0.961274,191.879211,118.316135,1.337742,312.494
930,NaN,0.005181,0.999776,287.625553,112.486237,1.475786,402.587
940,NaN,0.005096,0.867396,222.395184,149.797584,1.436715,374.497
950,NaN,0.005017,0.894288,268.255210,153.235819,1.355332,423.741
960,NaN,0.004937,1.015111,245.720185,160.304994,1.186618,408.227
970,NaN,0.004852,0.942578,251.820769,135.600935,1.324825,389.689
980,NaN,0.004765,0.915031,273.439502,138.204017,1.242318,413.801
990,NaN,0.004685,0.995077,222.230951,128.519338,1.095861,352.841
1000,NaN,0.004604,0.978879,227.639063,151.808256,1.327404,381.754
1010,NaN,0.004525,0.927052,250.921379,146.043193,1.310233,399.202
1020,NaN,0.004452,0.900127,348.626804,167.199119,1.213826,517.94
1030,NaN,0.004383,0.995097,307.995969,146.346783,1.231164,456.569
1040,NaN,0.004317,1.007639,187.219681,132.675688,1.337142,322.24
1050,NaN,0.004245,0.958982,303.139876,154.905788,1.281443,460.286
1060,NaN,0.004179,0.906518,245.131618,138.088670,1.409723,385.537
1070,NaN,0.004113,0.883452,300.560017,157.403674,1.152151,459.999
1080,NaN,0.004051,1.047588,220.478733,162.739278,1.290782,385.556
1090,NaN,0.003995,0.887932,268.223074,164.105219,1.363139,434.579
1100,NaN,0.003936,1.028984,280.297686,165.251918,1.278951,447.858
1110,NaN,0.003883,1.033063,306.587686,172.679465,1.294143,481.594
1120,NaN,0.003828,0.990792,355.894417,176.405564,1.320818,534.612
1130,NaN,0.003771,0.990802,243.690345,175.982320,1.228333,421.892
1140,NaN,0.003720,0.933973,290.125481,167.252334,1.148504,459.46
1150,NaN,0.003669,0.891233,310.040481,170.986642,1.438611,483.357
1160,NaN,0.003625,1.001510,282.988474,180.872413,1.382724,466.245
1170,NaN,0.003577,0.883505,300.106140,187.195334,1.448909,489.634
1180,NaN,0.003528,0.984838,332.598142,181.800767,1.283194,516.667
1190,NaN,0.003479,1.025796,288.910629,178.397915,1.219241,469.554
1200,NaN,0.003432,1.039026,378.532868,193.104925,1.382788,574.06
1210,NaN,0.003385,1.039555,276.826483,192.885902,1.368153,472.12
1220,NaN,0.003339,0.949810,433.173992,187.897822,1.438304,623.46
1230,NaN,0.003292,0.918177,418.342800,182.751636,1.510405,603.523
1240,NaN,0.003250,0.989590,335.218413,191.089575,1.409677,528.707
1250,NaN,0.003211,0.858298,405.279158,253.064959,1.165853,660.368
1260,NaN,0.003169,0.905359,485.709838,219.508455,1.250845,707.374
1270,NaN,0.003123,0.991397,445.609044,201.721227,1.256677,649.578
1280,NaN,0.003084,1.066905,463.955583,222.134939,1.474547,688.632
1290,NaN,0.003037,0.942885,375.205099,225.757780,1.344550,603.25
1300,NaN,0.002995,1.007769,465.743292,224.129406,1.225857,692.106
1310,NaN,0.002955,1.012416,410.198350,236.010741,1.445924,648.667
1320,NaN,0.002916,0.971729,365.765871,232.239187,1.449384,600.426
