Modes,Err_Mean,Err_2norm,T_Setup,T_Sub,T_RedSol,T_Recov,T_Total
50,NaN,0.553781,1.037464,4.374238,0.378826,0.368319,6.15885
60,NaN,0.215258,0.980931,5.663791,0.913348,0.496445,8.05452
70,NaN,0.119448,0.944555,5.576166,1.010665,0.398630,7.93002
80,NaN,0.085238,0.926415,6.195294,1.115773,0.404734,8.64222
90,NaN,0.066967,0.927252,6.617260,0.714692,0.360514,8.61972
100,NaN,0.051910,0.821859,7.095732,1.219032,0.348984,9.48561
110,NaN,0.041345,0.943692,8.209334,0.852367,0.377494,10.3829
120,NaN,0.034321,0.856820,9.297934,1.462671,0.422696,12.0401
130,NaN,0.029589,0.809616,9.681702,0.940090,0.391728,11.8231
140,NaN,0.025626,0.890706,11.071057,1.024135,0.400711,13.3866
150,NaN,0.022452,0.856473,11.994326,1.432972,0.401790,14.6856
160,NaN,0.020020,0.831983,12.696687,1.554154,0.380245,15.4631
170,NaN,0.017596,0.950813,11.909862,1.676400,0.363697,14.9008
180,NaN,0.016014,0.835348,14.572380,1.599522,0.407679,17.4149
190,NaN,0.014399,0.862641,14.607924,1.788171,0.384825,17.6436
200,NaN,0.013003,0.961712,14.656815,2.274339,0.431940,18.3248
210,NaN,0.011784,0.899382,19.013152,1.984950,0.417687,22.3152
220,NaN,0.010775,1.096279,19.462422,2.611326,0.407737,23.5778
230,NaN,0.009990,0.864077,17.336260,2.987918,0.482977,21.6712
240,NaN,0.009255,0.859801,19.222113,2.666005,0.381670,23.1296
250,NaN,0.008619,0.902223,19.464528,3.648411,0.397159,24.4123
260,NaN,0.008116,0.899577,23.409846,3.220987,0.409022,27.9394
270,NaN,0.007601,0.846450,25.248395,3.425684,0.390093,29.9106
280,NaN,0.007110,0.923599,23.729875,4.054367,0.361222,29.0691
290,NaN,0.006710,0.932487,23.208684,4.624926,0.415202,29.1813
300,NaN,0.006308,0.963542,28.538924,7.408932,0.426113,37.3375
310,NaN,0.005951,0.869262,30.008230,8.103791,0.367501,39.3488
320,NaN,0.005654,0.875460,28.842759,10.444764,0.417950,40.5809
330,NaN,0.005325,0.833215,28.184656,10.340836,0.405135,39.7638
340,NaN,0.005044,0.873693,31.252074,10.837697,0.434902,43.3984
350,NaN,0.004784,0.860349,31.411371,12.177454,0.431642,44.8808
360,NaN,0.004570,0.838566,36.909316,14.217356,0.420339,52.3856
370,NaN,0.004379,0.988142,33.035540,12.262865,0.397834,46.6844
380,NaN,0.004166,0.870461,35.833939,12.615607,0.412269,49.7323
390,NaN,0.003982,0.845502,39.424095,15.377646,0.445310,56.0926
400,NaN,0.003819,0.922822,40.599489,16.302532,0.594714,58.4196
