Modes,Err_Mean,Err_2norm,T_Pre,T_Sub,T_Schur,T_RedSol,T_Total
30,1.999958e-01,6.190281e+00,0.0669971,2.51008,3.63737,50.1579,56.3723
50,9.189395e-03,1.843757e-01,0.111396,4.18214,4.0839,48.3669,56.7443
60,5.022111e-03,9.334252e-02,0.113973,4.81241,3.09124,54.5238,62.5414
70,3.945877e-03,7.421339e-02,0.0814167,4.64242,3.92404,52.643,61.2909
80,2.848693e-03,5.291478e-02,0.0823194,5.19951,3.10078,61.399,69.7816
90,3.356403e-03,6.289793e-02,0.0850099,5.69449,3.75404,56.2532,65.7867
100,2.282866e-03,4.231615e-02,0.0944624,5.20745,3.34708,62.9441,71.5931
110,1.876663e-03,3.429295e-02,0.0661463,7.63404,3.65292,60.6384,71.9915
120,1.646394e-03,3.016010e-02,0.0638118,7.50568,3.17195,63.3636,74.105
130,1.340240e-03,2.453447e-02,0.0700925,9.29949,3.71715,57.8699,70.9566
140,1.173217e-03,2.131968e-02,0.0763685,7.20797,3.01242,63.8062,74.103
150,8.387569e-04,1.518474e-02,0.0724051,10.9381,3.69576,62.4845,77.1908
160,7.578012e-04,1.368547e-02,0.107441,8.19422,3.0395,70.9809,82.3221
170,7.640005e-04,1.383232e-02,0.136071,14.3643,3.93394,66.2384,84.6727
180,8.169738e-04,1.484822e-02,0.0635697,10.5088,3.11587,70.6827,84.3709
190,6.408985e-04,1.159524e-02,0.0710338,14.6375,3.71152,70.6561,89.0762
200,6.757477e-04,1.221944e-02,0.0670744,11.7511,3.27925,76.2497,91.3471
210,5.504120e-04,9.934273e-03,0.0617499,15.134,3.88511,73.461,92.5419
220,5.740353e-04,1.036494e-02,0.0639261,13.7039,3.19397,76.0894,93.0512
230,5.243517e-04,9.477528e-03,0.0676476,17.2706,3.91647,72.6267,93.8814
240,4.288554e-04,7.746250e-03,0.0643243,13.0553,3.49236,85.2647,101.877
250,3.395739e-04,6.115995e-03,0.0707883,19.8889,3.79149,84.624,108.375
260,4.298908e-04,7.751580e-03,0.0660738,14.2142,3.31055,85.6354,103.226
270,4.067051e-04,7.333037e-03,0.0758404,22.5226,3.78368,80.928,107.31
280,3.166057e-04,5.696541e-03,0.0696204,19.9031,3.45878,93.1346,116.566
290,3.639299e-04,6.566603e-03,0.0646824,24.4889,3.72625,83.4238,111.704
300,3.390394e-04,6.122544e-03,0.0885103,17.2281,3.18025,92.2138,112.711
310,3.174326e-04,5.724104e-03,0.0629777,25.6113,3.70375,87.714,117.092
320,3.001884e-04,5.424314e-03,0.0760318,18.6613,3.01053,95.0691,116.817
330,2.824504e-04,5.100361e-03,0.0670302,28.4545,3.7143,88.5256,120.761
340,2.652414e-04,4.780748e-03,0.0717067,19.8525,3.06392,97.9761,120.964
350,2.568155e-04,4.625774e-03,0.0716172,31.5159,3.66582,91.6811,126.934
360,2.425394e-04,4.368701e-03,0.0620224,21.3293,3.29398,102.349,127.034
370,2.328225e-04,4.199246e-03,0.0673561,34.4206,3.63273,95.723,133.844
380,2.211490e-04,3.984298e-03,0.070157,23.438,3.03291,104.131,130.672
390,2.104135e-04,3.788291e-03,0.0673459,36.3998,3.48255,99.9174,139.867
400,2.024654e-04,3.644922e-03,0.0690074,25.1175,3.29687,107.846,136.329
