Modes,Err_Mean,Err_2norm,T_Fact,T_Stat,T_Ifc,T_RedCon,T_RedSol,T_Total
50,2.6188e-01,1.1590e+01,1.359061,4.442272,10.0128,2.179396,0.477733,18.4713
60,4.0624e-02,1.4790e+00,1.421054,4.144904,9.92209,2.950666,0.931163,19.3699
70,1.5046e-02,4.6361e-01,1.387421,4.068053,9.80623,3.9587,1.415354,20.6358
80,9.7984e-03,2.7074e-01,1.457198,4.319582,10.5917,3.922856,2.095721,22.3871
90,6.7452e-03,1.7995e-01,1.565161,4.33868,11.1886,5.224056,2.340108,24.6566
100,5.8063e-03,1.5448e-01,1.437125,4.10073,10.8653,6.136899,2.845767,25.3858
110,4.2175e-03,1.1261e-01,1.427801,4.299751,11.3473,6.868097,3.552401,27.4953
120,3.7590e-03,9.9820e-02,1.401769,4.354148,11.9426,6.293124,3.6712,27.6628
130,3.6605e-03,9.7109e-02,1.431639,4.049087,11.6003,6.61196,3.987494,27.6805
140,3.5843e-03,9.5397e-02,1.405376,3.922453,12.0815,7.111409,4.268972,28.7897
150,2.4062e-03,6.3455e-02,1.434149,4.085354,12.6089,9.52748,5.931125,33.587
160,2.2456e-03,5.9208e-02,1.405798,4.321601,13.4549,8.581007,6.185212,33.9485
170,1.9064e-03,5.0393e-02,1.445661,4.045606,13.0334,9.832018,7.018647,35.3753
180,1.6594e-03,4.3821e-02,1.404099,4.364083,14.7235,10.609529,8.067274,39.1685
190,1.6048e-03,4.2133e-02,1.409583,4.363111,14.9832,10.675157,8.648605,40.0797
200,1.4452e-03,3.7796e-02,1.391424,3.957945,15.3998,11.251468,9.496746,41.4974
210,1.6375e-03,4.3180e-02,1.367505,4.43823,16.1911,12.015547,8.871957,42.8843
220,1.1952e-03,3.1146e-02,1.430389,4.221546,16.0728,13.660506,10.572169,45.9574
230,1.2513e-03,3.2801e-02,1.392133,4.521459,15.7724,14.519871,11.353509,47.5594
240,9.9851e-04,2.6015e-02,1.468962,3.965598,15.5259,16.335578,12.427339,49.7234
250,1.0041e-03,2.6229e-02,1.368427,4.441886,15.9889,16.343324,13.294053,51.4366
260,9.5421e-04,2.4904e-02,1.39172,4.238015,15.9725,17.224275,14.327151,53.1537
270,1.0095e-03,2.6321e-02,1.382222,4.359249,16.0685,16.533394,14.364424,52.7078
280,1.0542e-03,2.7527e-02,1.40596,4.31131,16.5368,17.469809,15.233023,54.9569
290,9.8218e-04,2.5637e-02,1.384792,4.12297,16.3786,17.802927,16.752141,56.4414
300,7.5094e-04,1.9626e-02,1.409753,4.386881,17.6786,20.024992,20.229629,63.7299
310,7.9124e-04,2.0653e-02,1.370107,4.449741,17.7304,20.036712,20.178374,63.7653
320,7.4886e-04,1.9563e-02,1.447675,3.997955,17.5907,21.304999,21.381304,65.7226
330,6.5655e-04,1.7172e-02,1.383779,4.426054,18.0364,21.202514,23.329557,68.3783
340,5.4018e-04,1.4116e-02,1.451533,4.318802,18.0204,23.589611,26.798861,74.1792
350,5.2717e-04,1.3775e-02,1.483293,4.250822,18.636,23.775883,27.129939,75.2759
360,5.5905e-04,1.4605e-02,1.638234,4.293046,18.861,25.146847,27.28314,77.2223
370,6.4232e-04,1.6786e-02,1.38771,4.478315,18.6413,24.314724,28.202756,77.0248
380,5.5999e-04,1.4659e-02,1.372148,4.350878,19.7134,27.186926,30.63961,83.263
390,4.7936e-04,1.2524e-02,1.378151,4.414071,19.6218,28.670643,34.251477,88.3361
400,4.5785e-04,1.1958e-02,1.419679,4.207805,19.684,30.737772,35.230212,91.2795
