Modes,Err_Mean,Err_2norm,T_Sub,T_Ifc,T_RedCon,T_RedSol,T_Total
30,2.0524e-02,1.9572e+00,5.88553,0.773895,1.829019,1.183504,9.67195
35,3.4666e-03,1.0685e-01,6.42479,0.954133,2.487409,1.462682,11.329
40,6.4503e-04,2.2480e-02,7.04845,0.903326,2.791483,1.911527,12.6548
45,1.8699e-04,5.7145e-03,7.83853,0.874439,3.246525,2.345504,14.305
50,5.8629e-05,1.6759e-03,8.55825,0.892605,4.181525,2.804651,16.437
55,1.2987e-05,3.3884e-04,9.30966,1.016783,4.255186,3.551901,18.1335
60,6.8855e-06,1.8048e-04,9.91887,1.157888,5.786089,4.182316,21.0452
65,4.0548e-06,1.1517e-04,10.5342,1.299317,5.829535,4.734176,22.3972
70,2.5490e-06,7.8140e-05,11.2903,1.336332,5.570576,5.298121,23.4953
75,1.7296e-06,5.4619e-05,12.1007,1.341218,6.153578,5.960014,25.5555
80,1.3379e-06,3.6578e-05,12.7314,1.376556,6.39488,6.276195,26.779
85,1.1445e-06,3.1991e-05,12.789,1.275454,6.433715,6.527073,27.0252
90,8.4320e-07,2.6969e-05,13.3161,1.393682,7.06125,7.199316,28.9703
95,2.6986e-07,7.4192e-06,15.2452,1.665427,9.966331,9.582344,36.4593
100,4.2974e-07,1.2721e-05,15.4768,1.607041,9.568387,9.068583,35.7208
105,1.8236e-07,5.2146e-06,16.8199,1.541154,9.203277,11.227665,38.792
110,2.4435e-07,6.7386e-06,17.359,1.726622,9.012697,10.770884,38.8692
115,1.2112e-07,3.5980e-06,17.7937,1.678283,10.019205,14.153581,43.6448
120,1.8370e-07,5.6004e-06,17.2968,1.840152,10.348271,13.544605,43.0298
125,1.3134e-07,3.9616e-06,18.1586,1.711448,10.813742,14.232979,44.9168
130,1.0969e-07,3.6374e-06,18.8942,2.116932,12.895433,16.401481,50.308
135,1.2972e-07,4.0234e-06,18.0874,1.983007,11.694445,14.421814,46.1867
140,8.1264e-08,2.7300e-06,20.0464,1.97437,11.675565,18.114879,51.8112
145,4.8021e-08,2.0298e-06,22.3749,2.461605,13.787698,25.317525,63.9417
150,2.3151e-08,1.6379e-06,23.5364,2.367293,15.383516,30.398929,71.6861
155,4.8878e-08,2.0511e-06,20.9286,2.126715,13.258379,23.317061,59.6308
160,2.8368e-08,1.7745e-06,23.4388,2.279803,14.378494,27.537705,67.6348
165,3.4714e-08,1.8652e-06,22.246,2.251733,16.620091,24.89227,66.0101
170,2.3366e-08,1.6309e-06,25.277,2.45977,16.368266,33.627603,77.7326
175,2.6413e-08,1.7276e-06,23.7012,2.37714,15.841952,30.365372,72.2857
180,2.4606e-08,1.6816e-06,24.8016,2.524091,15.381518,31.255334,73.9625
185,2.0526e-08,1.5992e-06,28.149,2.666836,16.076416,37.01918,83.9114
190,1.9225e-08,1.5576e-06,27.9023,2.842782,18.491867,39.020273,88.2572
195,1.9735e-08,1.5736e-06,27.7451,2.690016,18.515474,38.384312,87.3349
200,1.8880e-08,1.5369e-06,27.9647,2.830011,18.237803,39.421022,88.4535
