Modes,Err_Mean,Err_2norm,T_Setup,T_Sub,T_RedSol,T_Recov,T_Total
40,NaN,NaN,0,0,0,0,0
100,NaN,NaN,0,0,0,0,0
120,NaN,1.596213,7.131639,29.580235,2.843438,4.865287,44.4206
140,NaN,0.240681,6.970750,34.915907,4.175229,4.848987,50.9109
150,NaN,NaN,0,0,0,0,0
160,NaN,0.179785,7.060285,40.225147,4.730759,4.980725,56.9969
180,NaN,0.142777,7.129049,45.080292,10.328840,5.357088,67.8953
200,NaN,0.117851,6.982060,51.386664,12.409624,4.864550,75.6429
220,NaN,0.099325,6.966116,56.101089,15.097617,4.837773,83.0026
240,NaN,0.085778,7.049155,63.791542,14.646023,4.662880,90.1496
260,NaN,0.074960,7.064926,71.516316,16.041093,4.913922,99.5363
280,NaN,0.066137,6.996859,80.305300,18.101816,4.986127,110.39
300,NaN,0.059111,7.017610,88.734019,33.008434,4.997976,133.758
320,NaN,0.053115,7.062773,99.701087,36.635284,4.995381,148.395
340,NaN,0.048282,7.016860,108.423230,40.219676,5.940881,161.601
360,NaN,0.044061,7.136120,120.658554,44.971512,4.927703,177.694
380,NaN,0.040365,6.956230,128.041267,49.179461,5.739915,189.917
400,NaN,0.036981,7.000991,139.038497,53.907498,5.547892,205.495
420,NaN,0.034318,7.121295,150.026952,66.121411,5.172618,228.442
440,NaN,0.031819,7.023464,159.257902,62.615063,5.163568,234.06
460,NaN,0.029741,7.008729,178.488152,75.318477,5.116530,265.932
480,NaN,0.027821,7.095775,187.250947,79.496843,5.126735,278.97
500,NaN,0.026080,7.129691,200.605110,83.529876,5.238943,296.504
520,NaN,0.024499,7.089390,213.031488,93.031174,5.359810,318.512
540,NaN,0.023142,7.219184,233.032949,99.045682,5.409442,344.707
560,NaN,0.021926,7.084349,245.271609,100.893399,5.456065,358.705
580,NaN,0.020721,6.964028,260.063634,111.895921,5.371754,384.295
600,NaN,0.019640,7.209382,275.060916,114.363544,5.000006,401.634
620,NaN,0.018672,7.033970,292.569376,125.415743,5.177185,430.196
640,NaN,0.017831,7.083237,306.854982,134.734221,5.239945,453.912
660,NaN,0.016994,7.239205,333.810866,134.967595,5.603000,481.621
680,NaN,0.016269,7.164698,350.183907,156.068475,5.563835,518.981
700,NaN,0.015600,7.050213,384.055884,150.717098,5.847693,547.671
720,NaN,0.014973,7.289188,395.379799,155.895827,5.334980,563.9
740,NaN,0.014352,7.040449,406.967382,155.314454,5.336041,574.658
760,NaN,0.013787,7.063944,439.271207,159.317085,5.498158,611.15
780,NaN,0.013263,6.962121,462.981369,164.282616,5.504335,639.73
800,NaN,0.012772,7.127345,476.190050,172.900288,5.571321,661.789
820,NaN,0.012297,7.065593,497.078900,180.457639,5.605072,690.207
840,NaN,0.011845,7.088384,513.625552,178.180235,6.211689,705.106
860,NaN,0.011424,7.045757,538.460191,195.215432,5.356899,746.078
880,NaN,0.011026,6.999970,575.198304,196.273036,5.746325,784.218
900,NaN,0.010652,7.032041,597.172527,201.116568,5.398594,810.72
920,NaN,0.010295,7.047792,612.427661,204.704797,6.450246,830.63
940,NaN,0.009973,7.026382,644.069607,209.201832,5.982395,866.28
960,NaN,0.009667,7.029966,656.673376,208.858839,6.330094,878.892
980,NaN,0.009341,7.135919,690.371538,230.510870,5.678820,933.697
1000,NaN,0.009039,7.036377,740.979701,217.314995,5.855262,971.186
1020,NaN,0.008758,7.014885,731.493078,230.772177,5.532601,974.813
