Modes,Err_Mean,Err_2norm,T_Pre,T_Sub,T_Schur,T_RedSol,T_Total
20,1.245449e+01,3.763720e+02,0.111198,5.69514,34.394,207.367,247.567
30,8.388819e+00,2.732678e+02,0.109665,7.78189,33.7579,212.101,253.75
40,5.197042e+00,1.846589e+02,0.113966,9.0275,35.0814,221.35,265.573
50,3.626596e+00,1.374034e+02,0.1085,10.8275,33.9885,223.499,268.423
60,2.095434e+00,8.704929e+01,0.11043,12.5691,34.3422,229.162,276.184
70,1.055583e+00,4.864633e+01,0.116282,14.6169,34.8491,233.925,283.507
80,3.820564e-01,1.956068e+01,0.102595,16.9665,33.9429,240.786,291.798
90,1.241136e-01,6.267992e+00,0.118055,19.0367,34.4642,248.632,302.251
100,5.695093e-02,2.962987e+00,0.123032,21.6327,33.7779,255.156,310.69
110,1.594210e-02,5.273621e-01,0.110517,24.4228,34.2336,260.2,318.967
120,1.211112e-02,3.387202e-01,0.105029,26.782,33.9384,268.128,328.953
130,9.899218e-03,2.708837e-01,0.108714,28.2509,34.9144,274.533,337.807
140,8.541842e-03,2.320694e-01,0.115079,30.5012,34.534,286.461,351.611
150,7.536416e-03,2.041378e-01,0.116995,34.6738,32.9249,293.316,361.032
160,NaN,NaN,0,0,0,0,0
170,5.911286e-03,1.598416e-01,0.116623,39.7215,34.211,301.643,375.692
180,NaN,NaN,0,0,0,0,0
190,4.648083e-03,1.248870e-01,0.130164,44.1329,33.3206,316.285,393.869
200,NaN,NaN,0,0,0,0,0
210,3.995972e-03,1.068863e-01,0.105809,49.3979,34.1015,328.602,412.207
220,NaN,NaN,0,0,0,0,0
230,3.442661e-03,9.176877e-02,0.10646,57.577,34.4347,348.798,440.916
250,2.977115e-03,7.919645e-02,0.104598,65.5514,34.2653,360.02,459.941
270,2.591492e-03,6.890214e-02,0.107329,75.0891,33.2096,385.561,493.967
290,2.312989e-03,6.145610e-02,0.120375,79.3806,34.0277,354.468,467.997
310,2.053860e-03,5.445945e-02,0.117788,84.1225,33.8372,363.48,481.557
330,1.856603e-03,4.914505e-02,0.110339,97.6191,33.8994,377.102,508.731
350,1.687340e-03,4.459439e-02,0.108466,105.046,34.5762,386.589,526.32
370,1.531592e-03,4.041706e-02,0.117369,112.827,34.5593,408.236,555.74
390,1.421064e-03,3.748068e-02,0.111391,120.62,35.1185,412.377,568.227
410,1.323993e-03,3.492605e-02,0.103579,127.489,33.9568,417.731,579.28
430,1.219084e-03,3.217173e-02,0.101177,135.913,35.1824,432.414,603.611
450,1.140637e-03,3.010401e-02,0.118085,147.696,34.4562,449.606,631.876
470,1.074571e-03,2.833984e-02,0.109149,150.487,34.3292,455.981,640.906
490,1.005433e-03,2.649697e-02,0.116775,168.023,34.1682,470.694,673.002
510,1.052078e-03,2.773101e-02,0.110394,148.411,34.4614,461.535,644.518
530,1.052078e-03,2.773101e-02,0.103557,138.898,34.1181,459.019,632.139
550,1.052078e-03,2.773101e-02,0.10875,149.26,34.0183,458.893,642.28
570,1.052078e-03,2.773101e-02,0.12599,151.84,35.7937,459.409,647.169
590,7.449613e-04,1.963907e-02,0.110365,199.592,34.6116,519.859,754.173
610,7.449613e-04,1.963907e-02,0.110663,209.24,35.2221,0,244.573
630,7.449613e-04,1.963907e-02,0.120235,196.746,33.7914,518.771,749.429
650,7.449613e-04,1.963907e-02,0.117782,206.795,34.217,518.808,759.938
670,7.449613e-04,1.963907e-02,0.110803,204.825,33.3507,520.017,758.304
690,7.449613e-04,1.963907e-02,0.109952,197.756,33.2589,520.539,751.664
710,7.449613e-04,1.963907e-02,0.125168,208.873,33.4822,523.408,765.888
730,5.753960e-04,1.515114e-02,0.112071,270.978,34.5336,577.646,883.27
750,5.753960e-04,1.515114e-02,0.1102,262.959,34.7121,578.314,876.095
770,5.753960e-04,1.515114e-02,0.118714,255.892,33.2333,578.176,867.42
790,5.753960e-04,1.515114e-02,0.126378,261.395,34.7734,577.777,874.072
810,5.753960e-04,1.515114e-02,0.110972,267.893,34.6703,579.959,882.633
830,5.753960e-04,1.515114e-02,0.108995,253.207,33.3865,580.789,867.491
850,5.184702e-04,1.364300e-02,0.108774,261.156,34.5068,604.694,900.466
870,4.667015e-04,1.227497e-02,0.109107,316.969,34.3527,623.066,974.497
890,4.667015e-04,1.227497e-02,0.122961,330.415,34.2977,623.071,987.907
910,4.667015e-04,1.227497e-02,0.119202,315.852,34.0598,621.259,971.29
930,4.667015e-04,1.227497e-02,0.112301,314.663,33.8646,626.42,975.06
950,4.667015e-04,1.227497e-02,0.125249,316.844,34.3601,621.972,973.301
970,4.122514e-04,1.082649e-02,0.109256,319.069,33.6933,661.52,1014.39
990,3.851670e-04,1.011904e-02,0.105012,386.9,33.2493,676.176,1096.43
