Modes,Err_Mean,Err_2norm,T_Fact,T_Stat,T_Ifc,T_RedCon,T_RedSol,T_Total
80,7.2211e-02,3.2799e+00,3.808945,29.605966,53.479,11.932733,7.849864,106.677
90,2.1316e-02,6.9565e-01,3.444158,28.028258,55.0326,14.802422,7.429239,108.737
100,1.5499e-02,4.4676e-01,3.982691,27.622129,55.9372,18.342348,12.832821,118.717
110,1.1756e-02,3.2183e-01,3.284904,25.973033,50.5235,19.931585,13.988191,113.701
120,9.8088e-03,2.6397e-01,3.383693,23.357168,49.1492,21.264263,15.784024,112.938
130,8.4222e-03,2.2533e-01,3.315694,22.694634,46.9525,29.821104,17.233697,120.018
140,7.2693e-03,1.9379e-01,3.355496,23.476862,47.1511,30.747207,20.418391,125.149
150,6.2956e-03,1.6747e-01,3.283075,21.064764,46.4068,39.163799,23.033184,132.952
160,5.7602e-03,1.5306e-01,3.36111,22.241403,47.0856,42.016931,25.749009,140.454
170,5.1866e-03,1.3785e-01,3.323216,24.757001,52.547,39.007695,29.581948,149.217
180,4.7185e-03,1.2522e-01,3.345873,25.13341,53.4596,41.80643,30.262144,154.007
190,4.3015e-03,1.1403e-01,3.483111,25.951452,57.212,37.73775,41.808492,166.193
200,3.9311e-03,1.0419e-01,3.773053,25.342715,55.477,38.052931,38.828138,161.474
210,3.5813e-03,9.4836e-02,4.202668,26.650728,58.2461,51.705506,39.992349,180.797
220,3.3037e-03,8.7336e-02,3.372283,25.500637,56.7555,46.812974,46.540995,178.982
230,3.0745e-03,8.1146e-02,3.385843,25.668963,57.2098,49.666926,49.514791,185.446
240,2.8519e-03,7.5181e-02,3.313792,25.370661,57.2959,59.349665,55.1614,200.491
250,2.6754e-03,7.0498e-02,3.369329,25.386704,57.3734,52.233599,59.520608,197.884
260,2.4951e-03,6.5721e-02,3.750105,25.500818,59.1035,52.845118,63.039442,204.239
270,2.3452e-03,6.1754e-02,3.302656,25.991708,60.3107,66.535647,67.158226,223.299
280,2.2143e-03,5.8250e-02,3.388215,25.83041,60.939,61.795976,68.641541,220.595
290,2.0931e-03,5.5011e-02,3.33847,25.744198,62.1254,57.876242,77.07111,226.155
