Modes,Err_Mean,Err_2norm,T_Sub,T_Ifc,T_RedCon,T_RedSol,T_Total
30,8.0015e-01,2.9986e+01,20.7787,2.363121,8.034089,1.709996,32.8859
35,4.1816e-01,1.6828e+01,22.5963,2.591579,8.960891,3.075309,37.2241
40,3.6911e-01,1.5416e+01,24.7338,2.776646,9.81379,3.603663,40.9279
45,2.4209e-01,1.0700e+01,25.7292,2.832958,9.584463,4.340511,42.4871
50,1.1646e-01,5.3363e+00,29.5049,3.095137,11.437296,5.514153,49.5515
55,5.2919e-02,2.1815e+00,33.0903,3.206353,12.906078,3.682224,52.885
60,3.7807e-02,1.5992e+00,34.8257,3.343353,15.573526,5.246556,58.9891
65,2.3300e-02,1.0641e+00,37.6934,3.698457,17.202711,6.368434,64.963
70,1.4955e-02,7.2957e-01,40.8491,3.767097,19.28641,7.083031,70.9856
75,8.0122e-03,4.2623e-01,43.8681,3.944179,20.858923,8.235989,76.9072
80,4.0794e-03,2.3099e-01,48.061,4.368695,22.254534,9.822967,84.5072
85,2.2318e-03,1.3163e-01,49.9159,4.37613,24.229923,10.60474,89.1267
90,8.3040e-04,5.2277e-02,52.5615,4.662182,26.060945,12.983507,96.2681
95,4.2688e-04,2.8039e-02,55.5264,4.780159,26.352152,14.111558,100.77
100,1.9302e-04,1.3194e-02,58.5462,5.177608,29.129409,15.244445,108.098
105,7.2388e-05,4.7561e-03,60.1949,5.39862,31.197868,16.791971,113.583
110,2.6290e-05,1.5966e-03,65.6435,5.531781,33.235189,19.045742,123.456
115,1.2625e-05,7.2912e-04,68.3182,5.70497,37.461788,20.173849,131.659
120,6.5335e-06,3.4165e-04,71.8753,5.986967,39.291232,21.968718,139.122
125,3.6497e-06,1.7095e-04,75.9881,5.883449,43.539923,22.692954,148.104
130,2.2071e-06,9.6554e-05,81.8991,6.191812,44.04847,25.357964,157.497
135,1.5381e-06,6.4555e-05,86.9019,6.465604,61.921284,28.276805,183.566
140,1.1088e-06,4.4725e-05,94.7643,6.573626,64.707748,36.311152,202.357
145,7.6190e-07,2.9468e-05,98.583,14.355857,64.710546,40.845074,218.494
150,5.9425e-07,2.2303e-05,102.897,15.60534,69.239671,42.717715,230.46
155,4.4245e-07,1.6063e-05,119.215,9.062354,56.839163,41.184967,226.301
160,3.3889e-07,1.1974e-05,139.912,10.03036,66.84423,50.164919,266.952
165,2.5804e-07,8.8286e-06,166.435,9.047337,67.981943,46.6533,290.118
170,2.0819e-07,6.9578e-06,174.965,10.551064,61.013732,45.257983,291.788
175,1.5965e-07,5.1675e-06,180.596,10.477868,61.185053,49.808067,302.067
180,1.3097e-07,4.1336e-06,191.673,10.4279,76.154621,47.352521,325.608
185,1.0780e-07,3.3104e-06,204.191,10.730867,72.987125,52.890588,340.8
190,9.2234e-08,2.7649e-06,216.047,10.366499,72.842307,53.503571,352.759
195,7.8048e-08,2.2877e-06,220.492,11.697717,75.345891,56.71046,364.246
200,6.4539e-08,1.8471e-06,224.558,11.13761,78.393223,76.674664,390.763
205,5.9351e-08,1.6843e-06,236.407,12.698174,90.827724,66.868885,406.802
210,5.2666e-08,1.4834e-06,239.988,11.121859,79.533929,68.69617,399.34
215,4.7575e-08,1.3405e-06,253.457,12.53589,89.506067,72.74126,428.24
220,4.3340e-08,1.2266e-06,258.067,11.714144,86.736843,75.670637,432.189
225,3.9744e-08,1.1364e-06,260.308,12.257292,110.183407,86.423457,469.172
230,3.7335e-08,1.0789e-06,148.864,20.086631,115.777071,86.398871,371.127
235,3.3454e-08,9.9170e-07,152.554,15.66169,113.719584,90.36898,372.304
240,3.0771e-08,9.3615e-07,154.939,17.727842,120.396264,96.327128,389.39
245,2.9274e-08,9.0640e-07,160.702,18.66761,123.307163,99.545707,402.222
250,2.7486e-08,8.7447e-07,168.447,20.501828,126.820274,103.901365,419.67
255,2.6540e-08,8.5547e-07,164.986,19.37548,142.504094,104.439992,431.306
260,2.4936e-08,8.2961e-07,183.234,23.317966,149.665369,117.73824,473.956
265,2.3690e-08,8.0925e-07,179.331,20.399722,142.749322,116.68649,459.167
270,2.2603e-08,7.9153e-07,185.088,24.171308,149.318136,126.166624,484.744
275,2.1532e-08,7.7451e-07,184.761,22.568208,153.564581,127.583808,488.478
280,2.1117e-08,7.6735e-07,194.897,23.791143,153.129285,130.250176,502.068
285,2.0354e-08,7.5656e-07,202.747,25.011505,156.125455,130.643698,514.528
290,1.9862e-08,7.4838e-07,215.907,25.44748,159.878042,140.959042,542.192
295,1.9247e-08,7.3928e-07,222.563,24.467268,166.323699,144.668026,558.022
300,1.9081e-08,7.3530e-07,234.831,26.411167,172.108561,143.063485,576.414
305,1.8855e-08,7.3018e-07,246.739,21.31952,176.221144,158.550351,602.83
310,1.8195e-08,7.2013e-07,267.693,22.161541,190.448365,157.218833,637.522
315,1.8031e-08,7.1611e-07,267.459,21.780946,182.564344,173.700255,645.505
320,1.7983e-08,7.1483e-07,265.522,23.069235,186.355979,172.333488,647.281
325,1.7303e-08,7.0327e-07,284.739,28.463291,193.83754,180.021237,687.061
330,NaN,NaN,285.15,29.243182,198.16382,183.508509,696.066
