Method,Num_Modes,Error_2norm,Time_Total
AMLS,120,1.596213,44.4206
AMLS,140,0.240681,50.9109
AMLS,160,0.179785,56.9969
AMLS,180,0.142777,67.8953
AMLS,200,0.117851,75.6429
AMLS,220,0.099325,83.0026
AMLS,240,0.085778,90.1496
AMLS,260,0.074960,99.5363
AMLS,280,0.066137,110.39
AMLS,300,0.059111,133.758
AMLS,320,0.053115,148.395
AMLS,340,0.048282,161.601
AMLS,360,0.044061,177.694
AMLS,380,0.040365,189.917
AMLS,400,0.036981,205.495
AMLS,420,0.034318,228.442
AMLS,440,0.031819,234.06
AMLS,460,0.029741,265.932
AMLS,480,0.027821,278.97
AMLS,500,0.026080,296.504
AMLS,520,0.024499,318.512
AMLS,540,0.023142,344.707
AMLS,560,0.021926,358.705
AMLS,580,0.020721,384.295
AMLS,600,0.019640,401.634
AMLS,620,0.018672,430.196
AMLS,640,0.017831,453.912
AMLS,660,0.016994,481.621
AMLS,680,0.016269,518.981
AMLS,700,0.015600,547.671
AMLS,720,0.014973,563.9
AMLS,740,0.014352,574.658
AMLS,760,0.013787,611.15
AMLS,780,0.013263,639.73
AMLS,800,0.012772,661.789
AMLS,820,0.012297,690.207
AMLS,840,0.011845,705.106
AMLS,860,0.011424,746.078
AMLS,880,0.011026,784.218
AMLS,900,0.010652,810.72
AMLS,920,0.010295,830.63
AMLS,940,0.009973,866.28
AMLS,960,0.009667,878.892
AMLS,980,0.009341,933.697
AMLS,1000,0.009039,971.186
AMLS,1020,0.008758,974.813
CB-CMS,20,3.763720e+02,247.567
CB-CMS,30,2.732678e+02,253.75
CB-CMS,40,1.846589e+02,265.573
CB-CMS,50,1.374034e+02,268.423
CB-CMS,60,8.704929e+01,276.184
CB-CMS,70,4.864633e+01,283.507
CB-CMS,80,1.956068e+01,291.798
CB-CMS,90,6.267992e+00,302.251
CB-CMS,100,2.962987e+00,310.69
CB-CMS,110,5.273621e-01,318.967
CB-CMS,120,3.387202e-01,328.953
CB-CMS,130,2.708837e-01,337.807
CB-CMS,140,2.320694e-01,351.611
CB-CMS,150,2.041378e-01,361.032
CB-CMS,170,1.598416e-01,375.692
CB-CMS,190,1.248870e-01,393.869
CB-CMS,210,1.068863e-01,412.207
CB-CMS,230,9.176877e-02,440.916
CB-CMS,250,7.919645e-02,459.941
CB-CMS,270,6.890214e-02,493.967
CB-CMS,290,6.145610e-02,467.997
CB-CMS,310,5.445945e-02,481.557
CB-CMS,330,4.914505e-02,508.731
CB-CMS,350,4.459439e-02,526.32
CB-CMS,370,4.041706e-02,555.74
CB-CMS,390,3.748068e-02,568.227
CB-CMS,410,3.492605e-02,579.28
CB-CMS,430,3.217173e-02,603.611
CB-CMS,450,3.010401e-02,631.876
CB-CMS,470,2.833984e-02,640.906
CB-CMS,490,2.649697e-02,673.002
