Modes,Err_Mean,Err_2norm,T_Setup,T_Sub,T_RedSol,T_Recov,T_Total
80,NaN,NaN,0,0,0,0,0
100,NaN,14.428090,10.756693,49.741518,4.198462,7.239554,71.9362
120,NaN,1.701661,12.169916,57.076238,4.096778,7.245261,80.5882
140,NaN,0.260582,10.271013,67.549589,4.938152,5.604499,88.3633
160,NaN,0.175753,10.050458,75.761296,5.795142,6.084009,97.6909
180,NaN,0.139251,13.114175,81.703637,10.787450,6.353128,111.958
200,NaN,0.113728,9.659438,94.827915,11.717508,6.359824,122.565
220,NaN,0.096854,9.625368,119.783186,12.488006,6.074793,147.971
240,NaN,0.084169,10.186401,118.588668,14.840853,6.691799,150.308
260,NaN,0.073670,9.830632,116.649947,16.953062,6.675863,150.11
280,NaN,0.065427,11.824391,139.441163,21.552688,6.799632,179.618
300,NaN,0.058344,9.745855,168.631750,37.654442,6.417493,222.45
320,NaN,0.052140,10.629222,186.691767,40.689748,6.366780,244.378
340,NaN,0.046965,9.733706,191.240778,49.117475,6.619601,256.712
360,NaN,0.042836,9.863610,198.406137,52.273971,6.808869,267.353
380,NaN,0.039216,9.710513,214.580131,53.014581,6.678052,283.983
400,NaN,0.036192,12.618710,245.351775,61.377481,6.306434,325.654
420,NaN,0.033616,9.777699,296.755143,71.264030,6.512376,384.309
440,NaN,0.031330,9.818885,280.270415,75.594078,6.812195,372.496
460,NaN,0.029272,13.152621,229.004059,82.124831,7.399758,331.681
480,NaN,0.027371,9.954918,304.732656,85.084885,7.242779,407.015
500,NaN,0.025534,12.989430,318.006943,106.709446,7.040353,444.746
520,NaN,0.023929,10.342856,406.350087,107.419076,7.317782,531.43
540,NaN,0.022506,10.705712,421.987246,100.447107,7.177197,540.317
560,NaN,0.021293,11.362052,485.741222,114.972099,6.751195,618.827
580,NaN,0.020196,10.899000,398.066354,144.916586,7.019151,560.901
600,NaN,0.019176,11.222225,591.323305,150.738611,6.706590,759.991
620,NaN,0.018219,9.414539,434.868239,164.158281,7.155282,615.596
640,NaN,0.017331,9.884234,496.312018,136.199012,6.661699,649.057
660,NaN,0.016483,9.831451,561.489676,179.942692,6.703667,757.967
680,NaN,0.015737,9.740230,534.401888,183.936037,6.945676,735.024
700,NaN,0.015070,9.620040,575.798436,201.278072,7.363805,794.06
720,NaN,0.014454,9.915553,562.738395,178.550513,6.905197,758.11
740,NaN,0.013837,9.674084,578.350254,206.415495,6.742662,801.182
760,NaN,0.013265,12.266035,669.443439,215.705083,6.995476,904.41
780,NaN,0.012756,11.087591,540.588327,189.918421,6.840007,748.434
800,NaN,0.012276,13.690256,692.513891,193.980260,6.936962,907.121
820,NaN,0.011835,12.649326,750.482867,233.182012,7.969582,1004.28
840,NaN,0.011422,9.168928,828.784444,233.185257,7.882325,1079.02
860,NaN,0.011033,9.444747,691.231593,219.565668,6.550494,926.793
880,NaN,0.010660,9.853088,878.629244,270.415410,7.691637,1166.59
900,NaN,0.010305,9.574117,914.820200,268.999553,7.237895,1200.63
920,NaN,0.009964,10.547997,868.025726,240.578000,7.731553,1126.88
940,NaN,0.009629,10.369189,894.644337,244.851475,6.915379,1156.78
960,NaN,0.009314,12.507668,1069.625645,240.742237,7.450219,1330.33
980,NaN,0.009030,12.508390,901.064438,304.333375,7.280433,1225.19
1000,NaN,0.008750,12.640330,1070.301024,232.707320,7.619870,1323.27
1020,NaN,NaN,0,0,0,0,0
