Modes,Err_Mean,Err_2norm,T_Pre,T_Sub,T_Schur,T_RedSol,T_Total
80,6.382272e-01,3.419300e+01,0.155836,19.0138,37.2723,265.765,322.207
100,5.011398e-02,2.856574e+00,0.187416,25.5999,37.107,279.109,342.003
120,9.830274e-03,2.751485e-01,0.140493,30.1784,38.1028,293.186,361.608
140,7.037258e-03,1.923734e-01,0.166081,38.4379,37.8981,306.556,383.058
160,5.394839e-03,1.461273e-01,0.139195,41.6888,39.2219,319.408,400.458
180,4.359838e-03,1.175176e-01,0.163743,50.8286,37.4106,328.643,417.046
200,3.638818e-03,9.785449e-02,0.181459,59.055,37.1743,346.085,442.496
220,3.055692e-03,8.206825e-02,0.153665,67.3913,38.2459,356.842,462.633
240,2.599368e-03,6.961484e-02,0.133253,77.1598,38.2903,374.638,490.221
260,2.249342e-03,6.014551e-02,0.150487,81.2979,38.451,390.152,510.051
280,1.995900e-03,5.336260e-02,0.132003,93.0888,38.8135,401.735,533.769
300,1.783805e-03,4.761944e-02,0.156367,99.0788,38.4466,381.767,519.449
320,1.616430e-03,4.312051e-02,0.138551,115.721,39.277,395.086,550.223
340,1.468166e-03,3.916139e-02,0.158224,123.441,39.9453,396.686,560.231
360,1.336752e-03,3.560197e-02,0.134783,133.126,39.7342,403.171,576.166
380,1.214156e-03,3.231065e-02,0.139242,141.266,39.1724,411.644,592.222
400,1.122664e-03,2.985650e-02,0.155243,149.696,38.8049,421.264,609.92
420,1.030296e-03,2.739831e-02,0.149956,164.311,38.5169,436.261,639.239
440,9.611691e-04,2.554605e-02,0.137627,178.092,40.3187,446.822,665.37
460,9.024665e-04,2.397080e-02,0.135059,186.036,39.8349,455.485,681.491
480,8.410380e-04,2.232280e-02,0.152103,204.896,38.3119,467.363,710.723
500,8.478700e-04,2.250397e-02,0.152139,185.984,40.1531,462.89,689.179
520,8.478700e-04,2.250397e-02,0.142317,183.527,39.3247,464.35,687.344
540,8.478700e-04,2.250397e-02,0.153576,182.666,39.8566,464.398,687.074
560,8.478700e-04,2.250397e-02,0.154171,186.001,40.3523,470.35,696.857
580,6.028527e-04,1.596720e-02,0.174555,251.784,40.5232,527.712,820.194
600,6.028527e-04,1.596720e-02,0.13655,257.849,39.9508,526.138,824.074
620,6.028527e-04,1.596720e-02,0.184354,261.116,38.8676,529.362,829.53
640,6.028527e-04,1.596720e-02,0.139858,259.419,39.3826,527.35,826.291
660,6.028527e-04,1.596720e-02,0.140039,261.659,38.8242,529.2,829.823
680,6.028527e-04,1.596720e-02,0.141997,262.179,38.9753,525.788,827.084
700,6.028527e-04,1.596720e-02,0.138527,254.667,40.5032,525.93,821.239
720,5.200909e-04,1.377158e-02,0.135479,350.238,39.4624,561.293,951.129
740,4.698810e-04,1.243236e-02,0.141697,351.23,39.2806,584.577,975.229
760,4.698810e-04,1.243236e-02,0.135801,348.771,39.8882,582.759,971.554
780,4.698810e-04,1.243236e-02,0.135966,341.668,40.058,584.339,966.201
800,4.698810e-04,1.243236e-02,0.171817,345.032,40.061,583.749,969.014
820,4.698810e-04,1.243236e-02,0.140006,347.089,40.0783,586.083,973.39
840,4.698810e-04,1.243236e-02,0.169793,339.467,39.3296,582.515,961.481
860,3.798016e-04,1.004737e-02,0.162121,432.125,38.3755,632.763,1103.43
880,3.798016e-04,1.004737e-02,0.139801,425.038,39.4313,634.348,1098.96
900,3.798016e-04,1.004737e-02,0.151026,437.783,39.704,631.871,1109.51
920,3.798016e-04,1.004737e-02,0.146789,428.809,40.5638,632.684,1102.2
940,3.798016e-04,1.004737e-02,0.153623,438.685,39.9868,629.505,1108.33
960,3.798016e-04,1.004737e-02,0.168289,427.846,38.6979,630.637,1097.35
980,3.536239e-04,9.356368e-03,0.142249,428.058,39.7618,653.084,1121.05
1000,3.170219e-04,8.381352e-03,0.145908,529.022,39.7555,685.098,1254.02
1020,3.170219e-04,8.381352e-03,0.144142,519.79,38.7274,690.618,1249.28
