Modes,Err_Mean,Err_2norm,T_Fact,T_Stat,T_Ifc,T_RedCon,T_RedSol,T_Total
100,2.4030e-02,9.0892e-01,7.908597,84.294184,157.45,21.092285,16.093906,286.839
120,1.3143e-02,3.5941e-01,3.823053,48.979235,90.4701,23.146531,27.849691,194.269
140,9.2279e-03,2.4577e-01,3.87846,49.018051,90.9024,31.932983,36.807919,212.54
160,7.2233e-03,1.9099e-01,3.77419,48.551507,93.8813,38.538617,46.204995,230.951
180,5.9170e-03,1.5627e-01,3.819727,48.01999,91.346,40.808671,56.63888,240.633
200,4.9569e-03,1.3085e-01,3.924685,51.124351,103.123,56.952373,72.901211,288.026
220,4.2747e-03,1.1300e-01,3.824611,60.807041,122.312,64.488052,91.867662,343.299
240,3.6330e-03,9.6136e-02,3.910043,62.033467,126.386,69.215274,109.84748,371.392
260,3.1720e-03,8.3827e-02,3.886516,64.725549,130.925,75.015026,128.650652,403.203
280,2.7795e-03,7.3261e-02,3.838797,64.489548,131.615,81.069054,160.200874,441.213
300,2.4827e-03,6.5297e-02,4.183068,62.593505,127.495,85.419027,170.701271,450.392
320,2.2300e-03,5.8578e-02,3.86563,63.846918,134.008,88.797536,186.505637,477.024
340,2.0325e-03,5.3374e-02,3.807761,65.727806,136.343,99.776424,215.875254,521.53
360,1.8452e-03,4.8455e-02,3.868719,58.604547,126.832,94.674333,222.986737,506.966
380,1.6754e-03,4.3988e-02,3.941453,51.814804,112.337,93.868408,202.894671,464.856
400,1.5563e-03,4.0848e-02,3.881159,51.107604,117.681,113.784434,287.726757,574.181
420,1.4236e-03,3.7372e-02,3.99215,61.406059,134.248,108.997024,251.8505,560.494
440,1.3213e-03,3.4658e-02,3.821781,50.398427,120.365,119.489327,268.416737,562.491
460,1.2278e-03,3.2183e-02,3.870102,53.303621,125.961,128.34693,295.399058,606.881
480,1.1626e-03,3.0467e-02,3.897955,49.804663,118.656,129.290364,399.523494,701.172
500,1.1746e-03,3.0781e-02,3.819393,48.411501,111.547,142.228671,319.463804,625.47
520,1.1738e-03,3.0762e-02,3.96021,48.306624,123.243,138.702689,400.204866,714.417
540,1.1732e-03,3.0745e-02,3.850851,56.340431,136.333,134.479243,453.597081,784.601
560,1.1725e-03,3.0728e-02,3.806731,51.117949,128.073,132.8267,353.860926,669.685
580,8.2371e-04,2.1534e-02,3.851725,50.613724,125.699,153.467818,453.950804,787.583
600,8.2338e-04,2.1525e-02,3.855456,45.883658,121.264,156.689104,465.934041,793.626
620,8.2301e-04,2.1516e-02,3.80621,48.012895,120.282,160.136339,474.018494,806.256
640,8.2259e-04,2.1506e-02,3.820365,48.698009,123.051,164.021098,504.228091,843.819
660,8.2229e-04,2.1498e-02,3.841841,47.345769,121.545,165.078808,518.984081,856.795
680,8.2201e-04,2.1491e-02,3.829341,49.121501,123.832,182.272644,535.097633,894.153
700,8.2179e-04,2.1486e-02,3.808215,49.006619,127.607,182.506882,618.014555,980.943
720,7.2341e-04,1.8916e-02,3.862419,49.468099,126.686,184.079083,609.740604,973.836
740,6.4460e-04,1.6861e-02,3.915938,46.936146,129.07,202.453164,649.179009,1031.55
760,6.4445e-04,1.6857e-02,3.806817,48.440734,129.021,206.263925,891.429598,1278.96
780,6.4433e-04,1.6855e-02,3.915098,47.434547,131.753,207.489527,885.652085,1276.24
800,6.4422e-04,1.6852e-02,3.813691,49.542716,130.452,225.306406,804.905099,1214.02
820,6.4416e-04,1.6850e-02,3.999898,54.065275,147.681,213.74225,738.074674,1157.56
840,6.4409e-04,1.6848e-02,3.878688,48.430997,130.069,230.531363,758.238122,1171.15
860,5.2172e-04,1.3626e-02,3.833135,47.254385,130.865,242.889063,885.731471,1310.57
880,5.2166e-04,1.3625e-02,3.811881,48.703477,129.768,245.902357,899.103218,1327.29
900,5.2164e-04,1.3624e-02,3.841173,47.185879,130.61,288.298678,1032.046679,1501.98
920,5.2161e-04,1.3623e-02,3.802991,48.813327,143.126,293.115092,1240.238858,1729.1
940,5.2157e-04,1.3622e-02,3.853343,62.764705,175.151,276.855568,1133.125855,1651.75
960,5.2154e-04,1.3622e-02,3.802797,53.521086,157.519,274.393703,1169.526197,1658.76
980,4.5165e-04,1.1794e-02,3.832173,53.023589,160.531,300.957113,1073.097161,1591.44
1000,4.3742e-04,1.1423e-02,3.863885,49.140215,154.475,299.681078,1142.718441,1649.88
