Modes,Err_Mean,Err_2norm,T_Sub,T_Ifc,T_RedCon,T_RedSol,T_Total
30,5.4352e+00,3.4040e+02,18.1163,7.642817,22.249577,8.713721,56.7224
35,2.1757e+00,8.4467e+01,20.2251,8.30401,9.939945,9.849972,48.319
40,1.3056e+00,4.9519e+01,23.1624,8.926615,11.544861,14.011292,57.6452
45,1.0003e+00,3.8648e+01,23.2505,9.960077,14.008748,17.74093,64.9603
50,6.0703e-01,2.5103e+01,25.4532,10.599737,17.526718,23.699308,77.279
55,3.9714e-01,1.7510e+01,28.0368,11.532666,17.289,27.870903,84.7294
60,2.2999e-01,1.0703e+01,30.133,12.092582,18.870099,41.882924,102.979
65,1.1990e-01,5.4447e+00,32.8615,12.852471,22.481885,42.002746,110.199
70,6.8894e-02,3.0420e+00,35.3096,13.406987,21.949033,47.984802,118.65
75,4.0870e-02,1.7507e+00,38.4331,14.071164,31.456082,55.929028,139.889
80,2.6845e-02,1.1380e+00,40.6128,14.595741,28.382148,71.348174,154.939
85,1.8223e-02,8.4117e-01,44.0066,15.512113,30.176913,142.303117,231.999
90,1.4842e-02,7.6873e-01,46.7828,16.071404,38.01895,209.660501,310.534
95,1.3201e-02,7.4417e-01,49.1174,16.287352,41.8548,316.795553,424.055
100,1.2516e-02,7.3529e-01,51.6294,17.196158,51.74256,495.359827,615.928
105,1.2228e-02,7.2993e-01,55.1565,17.630262,44.396922,676.996097,794.18
110,1.2104e-02,7.2673e-01,56.8236,17.830948,50.462984,988.100186,1113.22
115,1.2261e-02,7.3730e-01,61.1745,18.691974,54.450341,1375.706067,1510.02
120,1.2156e-02,7.3349e-01,63.2987,27.525383,62.38644,1295.019794,1448.23
125,1.2028e-02,7.2847e-01,67.241,28.631801,66.876214,1604.225978,1766.97
130,1.1920e-02,7.2452e-01,71.5561,34.829278,66.539864,1988.027793,2160.95
135,1.1837e-02,7.2115e-01,79.477,36.705036,72.464149,2108.632366,2297.28
140,1.1772e-02,7.1852e-01,123.404,37.421144,75.277738,2616.702131,2852.81
145,1.1711e-02,7.1624e-01,133.301,38.374066,85.982796,2356.448473,2614.11
150,1.1638e-02,7.1320e-01,138.987,37.454299,84.570785,2466.024164,2727.04
155,1.1571e-02,7.1031e-01,166.908,40.115217,81.822289,2815.500222,3104.35
160,1.1519e-02,7.0806e-01,89.9925,36.467781,81.346252,2092.329991,2300.14
165,1.1470e-02,7.0594e-01,94.332,30.907354,82.104033,2399.230186,2606.57
170,1.1405e-02,7.0293e-01,98.005,31.082716,82.169256,2444.87566,2656.13
175,1.1367e-02,7.0119e-01,101.46,32.106291,83.978795,2523.429818,2740.97
180,1.1312e-02,6.9876e-01,102.963,32.739628,93.099493,2694.129174,2922.93
185,1.1276e-02,6.9712e-01,109.476,33.604821,90.741951,2765.582844,2999.41
190,1.1243e-02,6.9565e-01,111.926,34.099957,98.730534,3262.460288,3507.22
195,1.1198e-02,6.9354e-01,117.84,34.69197,100.174456,3305.209894,3557.92
200,1.1170e-02,6.9219e-01,121.888,35.017812,105.240478,3476.113516,3738.26
205,1.1124e-02,6.8997e-01,124.376,36.642688,107.500113,3678.262955,3946.78
210,1.1088e-02,6.8826e-01,126.419,37.053097,109.340862,4063.263972,4336.08
215,1.1063e-02,6.8713e-01,134.462,37.034395,112.000691,4088.604878,4372.1
220,1.1029e-02,6.8554e-01,137.667,40.057888,122.064146,4259.112947,4558.9
225,NaN,NaN,143.501,41.515168,131.942761,0,316.959
