Modes,Err_Mean,Err_2norm,T_Sub,T_Ifc,T_RedCon,T_RedSol,T_Total
30,4.2305e-01,1.5185e+01,19.1578,7.629836,16.021094,21.53399,64.3427
35,2.4990e-01,9.6097e+00,21.1196,7.853285,24.768122,31.145871,84.8869
40,1.3398e-01,5.3741e+00,24.3483,9.013903,27.512501,36.33926,97.214
45,8.8568e-02,3.5915e+00,23.9203,9.348697,30.278907,47.201086,110.749
50,5.6576e-02,2.3266e+00,25.7573,10.231002,32.647891,49.104906,117.741
55,3.8293e-02,1.6331e+00,27.6327,11.054811,35.333719,62.375659,136.397
60,2.2308e-02,1.0120e+00,29.6277,11.74167,40.050535,98.77217,180.192
65,1.3662e-02,6.4947e-01,32.3089,12.882228,41.720935,113.172516,200.085
70,7.4290e-03,3.7506e-01,35.0699,13.470272,45.917858,178.587107,273.045
75,3.7473e-03,2.0223e-01,37.8812,12.741217,47.55736,237.362746,335.543
80,1.6012e-03,9.7909e-02,40.4709,13.55573,49.566362,265.432945,369.026
85,6.5556e-04,4.7506e-02,43.9983,15.897938,53.268389,306.826349,419.991
90,2.6414e-04,2.2658e-02,45.9734,17.352381,93.722767,400.627883,557.676
95,6.7151e-05,6.2270e-03,49.8461,18.02955,89.710021,497.363273,654.949
100,1.0679e-05,1.1508e-03,56.0243,18.753901,90.706298,548.609173,714.094
105,1.7685e-06,1.2425e-04,53.1324,18.205125,80.232117,676.529772,828.099
110,7.6835e-07,4.4116e-05,57.4964,19.119313,86.422867,735.311623,898.35
115,3.5828e-07,1.8171e-05,59.6621,20.780704,78.644566,969.291644,1128.38
