model_name,algorithm,nep,group,time,accuracy,reduce_time,solve_time,construct_time,interface_time
a_lady,Schur and Eigen-free IMR,25,4_5,23.442323,0.00022787,0.228771,16.21254,4.601649,2.399363
a_lady,Schur and Eigen-free IMR,25,6_7,24.931655,0.00079531,0.426621,15.62983,6.596433,2.278771
a_lady,Schur and Eigen-free IMR,25,8_9,25.163845000000002,0.0033397,0.554417,13.07694,9.193696,2.338792
a_lady,Schur and Eigen-free IMR,50,4_5,38.038557,7.9198e-06,0.811146,26.64,7.899099,2.688312
a_lady,Schur and Eigen-free IMR,50,6_7,40.29789499999999,6.3832e-05,1.159136,23.901899999999998,12.549279,2.68758
a_lady,Schur and Eigen-free IMR,50,8_9,49.278327,0.00039652,1.550975,20.95814,23.651991,3.117221
a_lady,Schur and Eigen-free IMR,75,4_5,58.481696,7.7893e-07,1.668392,39.072900000000004,13.853823,3.886581
a_lady,Schur and Eigen-free IMR,75,6_7,64.33254600000001,5.2428e-06,2.590572,35.9577,22.071483,3.712791
a_lady,Schur and Eigen-free IMR,75,8_9,82.11425900000002,5.7213e-05,3.832952,31.1794,42.859851,4.242056
a_lady,Schur and Eigen-free IMR,100,4_5,80.858467,1.8452e-07,2.980221,53.2051,19.698111,4.975035
a_lady,Schur and Eigen-free IMR,100,6_7,91.908936,8.0361e-07,5.672922,49.4217,32.024541,4.789773
a_lady,Schur and Eigen-free IMR,100,8_9,116.00454599999999,9.9693e-06,9.141058,42.2799,58.337684,6.245904
a_lady,Schur and Eigen-free IMR,125,4_5,106.008099,6.5493e-08,5.573083,68.6072,24.643804,7.184012
a_lady,Schur and Eigen-free IMR,125,6_7,125.777433,1.6241e-07,10.587611,63.92700000000001,44.962971,6.299851
a_lady,Schur and Eigen-free IMR,125,8_9,159.315513,2.5203e-06,14.511467,55.0067,82.922759,6.874587
a_lady,Full Schur,100,4_5,161.255,0.000110865,34.922936,77.4919,48.840001,
a_lady,Full Schur,100,6_7,236.123,0.000167625,63.013435,96.2689,76.840749,
a_lady,Full Schur,100,8_9,342.321,0.00019852,93.44604,120.533,128.342122,
a_lady,Interface modes reduction,100,4_5,89.6977,0.00053995,3.063074,53.49,10.010774,23.133814
a_lady,Interface modes reduction,100,6_7,146.85,0.00219345,6.514485,73.2391,23.230198,43.865754
a_lady,Interface modes reduction,100,8_9,160.943,0.00439625,9.811682,66.3397,34.304118,50.48703
a_lady,Full Schur,125,4_5,182.899,4.45435E-05,38.805739,91.4143,52.679088,
a_lady,Full Schur,125,6_7,271.182,0.00009564,68.792819,111.654,90.73548,
a_lady,Full Schur,125,8_9,358.915,0.00011507,99.48185,136.453,122.979719,
a_lady,Interface modes reduction,125,4_5,110.763,0.000263035,5.159159,68.2415,13.613807,23.748672
a_lady,Interface modes reduction,125,6_7,187.427,0.00113645,11.765642,95.9336,33.519946,46.208141
a_lady,Interface modes reduction,125,8_9,202.639,0.00260985,17.212997,87.6436,45.813287,51.969249
a_lady,Full Schur,150,4_5,215.956,2.09555E-05,42.817449,108.031,65.107846,
a_lady,Full Schur,150,6_7,300.807,0.00006236,72.334723,128.477,99.994796,
a_lady,Full Schur,150,8_9,395.848,0.000069775,106.489488,151.501,137.857623,
a_lady,Interface modes reduction,150,4_5,134.197,0.00013742,8.022687,84.0953,17.351977,24.727142
a_lady,Interface modes reduction,150,6_7,226.61,0.00066065,18.488866,119.809,40.683187,47.629392
a_lady,Interface modes reduction,150,8_9,252.407,0.00147275,27.076456,111.147,60.909017,53.274924
a_lady,Full Schur,50,4_5,122.925,0.00068855,30.963395,50.0106,41.95072,
a_lady,Full Schur,50,6_7,191.875,0.0008791,54.777754,69.2955,67.801917,
a_lady,Full Schur,50,8_9,305.338,0.00142485,80.761845,96.4072,128.169186,
a_lady,Interface modes reduction,50,4_5,54.7562,0.00369545,0.817602,27.2734,4.683702,21.981454
a_lady,Interface modes reduction,50,6_7,88.2399,0.0123765,1.359158,33.7517,10.29037,42.838634
a_lady,Interface modes reduction,50,8_9,94.4039,0.0237065,1.820774,31.1015,15.545567,45.93606
a_lady,Full Schur,75,4_5,133.253,0.00025386,33.781994,63.0126,36.458769,
a_lady,Full Schur,75,6_7,215.456,0.000338735,59.032024,81.7839,74.639841,
a_lady,Full Schur,75,8_9,314.098,0.00041649,87.191253,118.05,108.856436,
a_lady,Interface modes reduction,75,4_5,71.1669,0.0012086,1.781716,39.6299,7.181162,22.574125
a_lady,Interface modes reduction,75,6_7,115.195,0.00441295,3.086256,51.9905,16.874285,43.243544
a_lady,Interface modes reduction,75,8_9,124.501,0.0092665,4.593961,47.2572,23.330207,49.319394
