model_name,algorithm,nep,group,time,accuracy,reduce_time,solve_time,construct_time,interface_time
a_lady,Schur and Eigen-free IMR,100,4_5,71.0291,0.00048834,3.49248,53.2552,11.241192,3.040183
a_lady,Schur and Eigen-free IMR,100,6_7,82.2628,0.018259,7.310788,54.6618,17.382707,2.9075
a_lady,Schur and Eigen-free IMR,100,8_9,91.5985,0.268325,9.518658,49.7841,29.466734,2.828973
a_lady,Full Schur,100,4_5,161.255,0.000110865,34.922936,77.4919,48.840001,
a_lady,Full Schur,100,6_7,236.123,0.000167625,63.013435,96.2689,76.840749,
a_lady,Full Schur,100,8_9,342.321,0.00019852,93.44604,120.533,128.342122,
a_lady,Interface modes reduction,100,4_5,89.6977,0.00053995,3.063074,53.49,10.010774,23.133814
a_lady,Interface modes reduction,100,6_7,146.85,0.00219345,6.514485,73.2391,23.230198,43.865754
a_lady,Interface modes reduction,100,8_9,160.943,0.00439625,9.811682,66.3397,34.304118,50.48703
a_lady,Schur and Eigen-free IMR,125,4_5,92.0428,0.000170095,5.650924,68.3689,14.428018,3.594984
a_lady,Schur and Eigen-free IMR,125,6_7,110.325,0.0082985,11.738916,70.4619,24.777739,3.346548
a_lady,Schur and Eigen-free IMR,125,8_9,119.049,0.17178,15.674562,63.8906,36.158189,3.325495
a_lady,Full Schur,125,4_5,182.899,4.45435E-05,38.805739,91.4143,52.679088,
a_lady,Full Schur,125,6_7,271.182,0.00009564,68.792819,111.654,90.73548,
a_lady,Full Schur,125,8_9,358.915,0.00011507,99.48185,136.453,122.979719,
a_lady,Interface modes reduction,125,4_5,110.763,0.000263035,5.159159,68.2415,13.613807,23.748672
a_lady,Interface modes reduction,125,6_7,187.427,0.00113645,11.765642,95.9336,33.519946,46.208141
a_lady,Interface modes reduction,125,8_9,202.639,0.00260985,17.212997,87.6436,45.813287,51.969249
a_lady,Schur and Eigen-free IMR,150,4_5,117.05,0.00007018,10.04518,83.9661,18.989537,4.049412
a_lady,Schur and Eigen-free IMR,150,6_7,155.433,0.00433935,17.13575,87.1313,47.273777,3.892315
a_lady,Schur and Eigen-free IMR,150,8_9,171.068,0.115545,24.681543,80.0104,62.565654,3.810025
a_lady,Full Schur,150,4_5,215.956,2.09555E-05,42.817449,108.031,65.107846,
a_lady,Full Schur,150,6_7,300.807,0.00006236,72.334723,128.477,99.994796,
a_lady,Full Schur,150,8_9,395.848,0.000069775,106.489488,151.501,137.857623,
a_lady,Interface modes reduction,150,4_5,134.197,0.00013742,8.022687,84.0953,17.351977,24.727142
a_lady,Interface modes reduction,150,6_7,226.61,0.00066065,18.488866,119.809,40.683187,47.629392
a_lady,Interface modes reduction,150,8_9,252.407,0.00147275,27.076456,111.147,60.909017,53.274924
a_lady,Schur and Eigen-free IMR,50,4_5,34.8968,0.008265,0.838857,27.1678,4.797177,2.09293
a_lady,Schur and Eigen-free IMR,50,6_7,38.2909,0.16055,1.372967,27.4161,7.530968,1.970861
a_lady,Schur and Eigen-free IMR,50,8_9,37.7851,1.03715,1.907529,24.1421,9.807725,1.927755
a_lady,Full Schur,50,4_5,122.925,0.00068855,30.963395,50.0106,41.95072,
a_lady,Full Schur,50,6_7,191.875,0.0008791,54.777754,69.2955,67.801917,
a_lady,Full Schur,50,8_9,305.338,0.00142485,80.761845,96.4072,128.169186,
a_lady,Interface modes reduction,50,4_5,54.7562,0.00369545,0.817602,27.2734,4.683702,21.981454
a_lady,Interface modes reduction,50,6_7,88.2399,0.0123765,1.359158,33.7517,10.29037,42.838634
a_lady,Interface modes reduction,50,8_9,94.4039,0.0237065,1.820774,31.1015,15.545567,45.93606
a_lady,Schur and Eigen-free IMR,75,4_5,51.6182,0.0015471,1.929418,39.8413,7.26087,2.58664
a_lady,Schur and Eigen-free IMR,75,6_7,58.4044,0.0432415,3.573611,40.4492,11.921617,2.459941
a_lady,Schur and Eigen-free IMR,75,8_9,60.2082,0.476575,4.384851,36.1139,17.312321,2.397175
a_lady,Full Schur,75,4_5,133.253,0.00025386,33.781994,63.0126,36.458769,
a_lady,Full Schur,75,6_7,215.456,0.000338735,59.032024,81.7839,74.639841,
a_lady,Full Schur,75,8_9,314.098,0.00041649,87.191253,118.05,108.856436,
a_lady,Interface modes reduction,75,4_5,71.1669,0.0012086,1.781716,39.6299,7.181162,22.574125
a_lady,Interface modes reduction,75,6_7,115.195,0.00441295,3.086256,51.9905,16.874285,43.243544
a_lady,Interface modes reduction,75,8_9,124.501,0.0092665,4.593961,47.2572,23.330207,49.319394
