Modes,Err_Mean,Err_2norm,T_Setup,T_Sub,T_RedSol,T_Recov,T_Total
60,NaN,0.372728,0.571908,4.035771,0.759651,0.237891,5.60522
70,NaN,0.229014,0.699602,4.599250,0.754158,0.246831,6.29984
80,NaN,0.177754,0.670924,5.246376,1.692727,0.263087,7.87311
90,NaN,0.145447,0.645351,5.654235,1.400066,0.184342,7.88399
100,NaN,0.123417,0.686781,5.830932,1.425969,0.243977,8.18766
110,NaN,0.107503,0.636440,5.959359,1.383710,0.268297,8.24781
120,NaN,0.094704,0.660138,6.440364,1.858767,0.277193,9.23646
130,NaN,0.083998,0.696348,7.193453,2.217752,0.221761,10.3293
140,NaN,0.075556,0.674500,6.802757,1.886101,0.293311,9.65667
150,NaN,0.068116,0.648479,8.252970,2.214669,0.221127,11.3372
160,NaN,0.062135,0.665579,7.738233,2.273438,0.207110,10.8844
170,NaN,0.057500,0.668326,8.335767,2.274868,0.340690,11.6197
180,NaN,0.053210,0.644706,8.876012,2.709172,0.270751,12.5006
190,NaN,0.049485,0.655793,9.620009,2.572087,0.163613,13.0115
200,NaN,0.046105,0.720940,9.439390,2.953019,0.211680,13.325
210,NaN,0.043179,0.645264,10.688963,3.076521,0.173696,14.5844
220,NaN,0.040683,0.666793,11.705481,3.543207,0.243380,16.1589
230,NaN,0.038457,0.702163,11.371082,4.705884,0.370645,17.1498
240,NaN,0.036500,0.666692,11.598539,4.269773,0.237198,16.7722
250,NaN,0.034592,0.571383,12.903526,4.244489,0.229005,17.9484
260,NaN,0.032698,0.741769,13.460888,5.528226,0.322029,20.0529
270,NaN,0.031107,0.694792,13.267193,5.619645,0.319392,19.901
280,NaN,0.029670,0.670032,14.133804,5.368733,0.201177,20.3737
290,NaN,0.028283,0.699266,15.378909,6.529797,0.249213,22.8572
300,NaN,0.027046,0.693429,14.903297,11.359011,0.228463,27.1842
310,NaN,0.025830,0.721968,16.430897,13.745735,0.277812,31.1764
320,NaN,0.024799,0.691965,17.089210,12.155435,0.290147,30.2268
330,NaN,0.023858,0.735449,18.243126,14.375528,0.227730,33.5818
340,NaN,0.022919,0.601079,17.671437,15.386566,0.241287,33.9004
350,NaN,0.022017,0.709123,18.259374,15.755767,0.199493,34.9238
360,NaN,0.021192,0.718890,20.037888,16.374318,0.302515,37.4336
370,NaN,0.020432,0.701730,20.487550,16.296185,0.213617,37.6991
380,NaN,0.019687,0.665958,21.691172,17.697295,0.202779,40.2572
390,NaN,0.019038,0.691800,20.856371,19.683189,0.299371,41.5307
400,NaN,0.018440,0.747908,23.718769,20.634672,0.217688,45.319
