Modes,Err_Mean,Err_2norm,T_Pre,T_Sub,T_Schur,T_RedSol,T_Total
60,2.003956e-02,3.300613e-01,0.0590649,2.17314,3.94811,166.168,172.348
70,1.408246e-02,2.323506e-01,0.0375244,2.42125,4.07084,169.235,175.765
80,1.093855e-02,1.771485e-01,0.0398864,2.32836,3.96243,172.287,178.618
90,1.044264e-02,1.651977e-01,0.050691,3.04668,4.03745,170.189,177.324
100,8.721242e-03,1.437898e-01,0.0389245,2.97979,3.72188,166.797,173.538
110,8.767932e-03,1.399119e-01,0.0445912,3.20208,3.75705,169.611,176.615
120,8.972802e-03,1.421562e-01,0.0485965,3.58389,3.78472,173.036,180.453
130,7.217423e-03,1.142782e-01,0.0461735,3.93012,3.70846,174.721,182.406
140,6.017440e-03,9.980864e-02,0.043646,4.67143,4.01933,177.073,185.807
150,5.488829e-03,9.069069e-02,0.0461104,4.72711,3.96138,181.206,189.941
160,7.307980e-03,1.168825e-01,0.0480098,5.51045,4.06869,184.112,193.739
170,5.133223e-03,8.773617e-02,0.0387005,7.80496,4.4392,194.001,206.284
180,5.953913e-03,9.319656e-02,0.0540222,6.26302,4.25373,191.804,202.375
190,8.732950e-03,1.562635e-01,0.0372724,8.51361,4.30632,197.211,210.068
200,3.902709e-03,6.423363e-02,0.0409739,6.63956,4.41462,195.377,206.472
210,3.634948e-03,6.003989e-02,0.0342033,6.8326,4.33362,200.011,211.211
220,4.964941e-03,7.828895e-02,0.039879,7.84237,4.14535,201.31,213.338
230,3.443654e-03,5.526121e-02,0.0375766,10.3345,3.96064,207.83,222.163
240,4.204673e-03,8.330203e-02,0.0410419,10.7819,3.76916,212.518,227.11
250,3.358214e-03,6.015861e-02,0.0421927,7.6088,4.14927,215.856,227.656
260,3.212798e-03,5.679100e-02,0.0373947,9.81183,4.27947,220.765,234.894
270,3.027762e-03,5.250474e-02,0.0375089,8.63516,4.26941,220.899,233.841
280,2.869943e-03,4.564620e-02,0.0422515,10.1703,4.14105,221.425,235.779
290,2.840394e-03,4.476872e-02,0.0401497,9.48538,3.78105,222.989,236.296
300,3.022439e-03,5.615309e-02,0.0418834,9.8282,3.74453,226.374,239.989
310,5.077306e-03,9.815461e-02,0.0365876,11.6194,4.16757,233.65,249.474
320,2.281158e-03,3.767391e-02,0.0407896,12.2995,3.80468,252.846,268.991
330,3.426711e-03,7.226455e-02,0.0424339,14.3446,4.09209,235.67,254.149
340,2.200242e-03,3.652071e-02,0.0449919,12.928,3.9177,242.34,259.231
350,2.271704e-03,3.537287e-02,0.0474988,15.2702,4.11125,244.541,263.97
360,3.042077e-03,4.826430e-02,0.0443631,15.8828,3.95542,265.576,285.459
370,5.461382e-03,1.188649e-01,0.0431893,15.3516,4.06654,257.184,276.645
380,3.402448e-03,1.046060e-01,0.0431113,18.9083,4.13494,256.077,279.163
390,3.749210e-03,6.583944e-02,0.0439895,18.1247,4.1418,251.948,274.258
400,2.743053e-03,4.732811e-02,0.0413382,17.3641,4.17628,267.029,288.611
