Modes,Err_Mean,Err_2norm,T_Fact,T_Stat,T_Ifc,T_RedCon,T_RedSol,T_Total
100,3.5817e-02,1.1659e+00,0.733447,1.363868,6.48278,0.959765,21.611999,31.1519
110,2.6087e-02,8.1083e-01,0.694547,1.211569,5.08648,1.087898,25.285961,33.3665
120,1.9116e-02,5.4536e-01,0.659627,1.20455,5.98245,1.412323,21.54022,30.7992
130,1.6179e-02,4.4934e-01,0.664037,1.217724,5.585,1.339619,24.596079,33.4025
140,1.4097e-02,3.8545e-01,0.676742,1.332693,6.00688,1.405887,27.010486,36.4327
150,1.2472e-02,3.3806e-01,0.684811,1.220894,6.76707,1.514411,33.510098,43.6973
160,1.1624e-02,3.1458e-01,0.839629,1.506981,8.02202,1.571396,36.832952,48.773
170,1.0573e-02,2.8503e-01,0.667623,1.27787,6.83747,1.872192,37.56782,48.223
180,9.7401e-03,2.6186e-01,0.82293,1.50634,8.72343,1.898101,41.007064,53.9579
190,9.2131e-03,2.4734e-01,0.850603,1.481646,8.22573,2.983426,45.967898,59.5093
200,8.4061e-03,2.2490e-01,0.657553,1.244494,7.96563,2.23383,49.475925,61.5774
210,7.7188e-03,2.0590e-01,0.659711,1.20297,7.88841,3.068466,54.816599,67.6362
220,7.3687e-03,1.9641e-01,0.80521,1.277864,8.85521,2.640339,63.711933,77.2906
230,6.9181e-03,1.8423e-01,0.661111,1.176337,8.68114,2.690291,66.678785,79.8877
240,6.3960e-03,1.7026e-01,0.688519,1.207555,8.9245,3.531508,70.088776,84.4409
250,6.1044e-03,1.6255e-01,0.856937,1.411975,10.17,3.268739,82.351819,98.0595
260,5.8476e-03,1.5585e-01,0.866243,1.45734,10.4927,3.497251,87.009912,103.323
270,5.5466e-03,1.4798e-01,0.66372,1.260592,10.565,3.640693,89.406564,105.537
280,5.2639e-03,1.4052e-01,0.664767,1.186029,10.3375,4.710907,104.286322,121.186
290,5.0566e-03,1.3510e-01,0.857057,1.42717,12.2454,5.112235,135.524502,155.166
300,4.8279e-03,1.2905e-01,0.657438,1.588022,12.112,5.376308,146.624057,166.358
310,4.6417e-03,1.2412e-01,0.672751,2.78421,14.2393,5.912324,161.700205,185.309
320,4.5023e-03,1.2044e-01,0.87127,2.937822,15.0149,6.710565,176.545216,202.08
330,4.3160e-03,1.1545e-01,0.735576,2.699827,14.9252,7.513891,176.439588,202.314
340,4.1347e-03,1.1065e-01,0.741021,2.841169,17.1797,8.607746,213.197142,242.567
350,3.9937e-03,1.0688e-01,0.669758,2.776393,18.2127,6.716916,221.733775,250.11
360,3.8167e-03,1.0211e-01,0.695679,2.772608,15.6785,8.295595,227.55851,255.001
370,3.7204e-03,9.9555e-02,0.677141,2.935882,16.5306,10.34944,240.424006,270.917
380,3.5910e-03,9.6080e-02,0.957469,3.258281,19.7783,7.537206,267.40416,298.935
390,3.4436e-03,9.2113e-02,0.914233,3.086173,17.306,9.773567,267.874318,298.954
400,3.3414e-03,8.9388e-02,0.771923,3.077095,15.7926,9.609158,283.837199,313.088
410,3.2209e-03,8.6122e-02,0.724781,2.733087,15.5288,7.713739,307.452425,334.153
420,3.1134e-03,8.3193e-02,0.675893,2.771346,15.8923,8.12068,312.347219,339.807
430,3.0440e-03,8.1319e-02,0.705717,2.582713,15.5827,8.049091,321.485787,348.406
440,2.9454e-03,7.8658e-02,0.730696,2.606769,17.9173,9.830669,323.350177,354.436
450,2.8929e-03,7.7249e-02,0.709315,2.514345,16.588,8.658972,347.407127,375.878
460,2.8098e-03,7.5019e-02,0.680543,2.636481,17.2314,9.255333,347.091853,376.896
470,2.7258e-03,7.2775e-02,0.752188,2.541361,17.3926,8.795118,375.793754,405.275
480,2.6620e-03,7.1069e-02,0.713772,2.737474,19.8029,9.45034,365.518368,398.223
490,2.5844e-03,6.8980e-02,0.709569,2.503874,17.3423,8.866017,386.441477,415.863
500,2.1916e-03,5.8447e-02,0.696502,2.471513,17.2568,11.288557,437.929518,469.643
510,2.1848e-03,5.8281e-02,0.721234,2.489908,21.0201,11.882107,449.942979,486.056
520,2.1777e-03,5.8108e-02,0.739239,2.770043,20.2161,11.260548,456.180684,491.167
530,2.1713e-03,5.7951e-02,0.703212,2.581777,21.5528,11.836154,465.323619,501.998
540,2.1661e-03,5.7819e-02,0.683555,2.588634,22.4276,11.449516,474.147347,511.297
550,2.1602e-03,5.7675e-02,0.711305,2.553775,23.11,12.109577,475.276042,513.761
560,2.1545e-03,5.7533e-02,0.717093,2.843982,25.7633,10.01152,473.089217,512.425
570,2.1498e-03,5.7413e-02,0.791008,2.694573,25.847,10.049277,482.782817,522.165
580,2.0968e-03,5.6007e-02,0.916204,2.322537,23.3444,12.852332,478.303186,517.739
590,2.0923e-03,5.5897e-02,0.812854,2.591746,23.1159,11.731061,439.189785,477.441
600,2.0715e-03,5.5343e-02,0.662909,2.334157,22.6709,10.94707,514.289483,550.905
610,1.7326e-03,4.6271e-02,0.927123,2.587046,24.6653,13.166347,561.475444,602.821
620,1.7288e-03,4.6176e-02,0.671692,2.31897,22.6776,12.544785,564.767291,602.98
630,1.7246e-03,4.6075e-02,0.668116,2.375542,23.314,12.96743,566.113791,605.439
640,1.7206e-03,4.5975e-02,0.672626,2.181177,22.0517,11.866887,577.515897,614.288
650,1.7167e-03,4.5879e-02,0.668282,2.281242,21.9997,12.533265,576.54121,614.024
660,1.7133e-03,4.5795e-02,0.708412,2.283174,22.8378,12.381293,601.728439,639.939
670,1.7098e-03,4.5705e-02,0.712473,2.667104,29.5415,12.100776,594.906322,639.928
680,1.7068e-03,4.5631e-02,0.674355,2.31846,25.2745,16.058082,612.350467,656.676
690,1.7033e-03,4.5547e-02,0.672306,2.41631,25.1997,12.619223,600.485874,641.393
700,1.6663e-03,4.4567e-02,0.67631,2.321642,27.2814,12.826592,625.813881,668.92
710,1.6518e-03,4.4184e-02,0.708869,2.309562,24.8539,12.583641,669.638292,710.094
720,1.5340e-03,4.1035e-02,0.676382,2.305432,24.7782,13.398886,672.33373,713.493
730,1.3930e-03,3.7253e-02,0.707126,2.314304,25.3178,14.91651,727.02593,770.282
740,1.3908e-03,3.7198e-02,0.728347,2.46345,28.6262,14.189466,734.702486,780.71
750,1.3882e-03,3.7135e-02,0.706401,2.308225,27.243,14.653039,735.748867,780.66
760,1.3861e-03,3.7083e-02,0.786818,2.520001,28.1176,15.87683,749.230135,796.531
770,1.3842e-03,3.7037e-02,0.753307,2.468652,28.9046,14.357248,742.122621,788.606
780,1.3821e-03,3.6984e-02,0.673164,2.487198,28.8855,14.439495,759.713395,806.199
790,1.3798e-03,3.6930e-02,0.66872,2.485725,30.9072,14.59736,761.214661,809.874
800,1.3770e-03,3.6863e-02,0.708333,2.774928,34.5959,16.449477,765.878261,820.407
810,1.3756e-03,3.6831e-02,0.676782,2.461629,39.3504,14.142084,776.690373,833.321
820,1.3440e-03,3.5988e-02,0.680061,2.611094,42.8398,15.562612,617.352904,679.046
830,1.3239e-03,3.5446e-02,0.671225,2.453695,50.6987,16.734099,747.393296,817.951
840,1.3229e-03,3.5420e-02,0.665559,2.521067,58.6549,17.59785,857.718362,937.158
850,1.1980e-03,3.2093e-02,0.665295,2.542167,60.9851,18.304917,879.39666,961.894
860,1.1977e-03,3.2087e-02,0.705024,2.893895,68.6447,16.716814,879.627245,968.588
870,1.1977e-03,3.2087e-02,0.697886,2.681295,69.2369,17.829127,881.324906,971.77
