Modes,Err_Mean,Err_2norm,T_Sub,T_Ifc,T_RedCon,T_RedSol,T_Total
30,1.0000e+00,1.3928e+01,3.23153,0.412387,1.038616,0.176833,4.85937
40,1.0000e+00,1.3928e+01,3.49357,0.383257,0.986359,0.217182,5.08037
50,7.5837e-03,1.4011e-01,4.14313,0.431288,0.880368,2.10711,7.5619
60,3.0774e-03,5.4949e-02,4.9857,0.464594,1.148433,7.042898,13.6416
70,1.4224e-03,2.5409e-02,5.90127,0.449329,1.376532,9.953878,17.681
80,7.6170e-04,1.3954e-02,6.45604,0.50622,1.617755,14.429564,23.0096
90,5.1427e-04,9.6954e-03,7.03005,0.491773,1.813078,17.166557,26.5015
100,3.7847e-04,7.3980e-03,8.16366,0.523908,2.091355,22.418652,33.1976
110,3.0312e-04,5.9253e-03,8.34323,0.557801,2.229634,23.881659,35.0123
120,2.2358e-04,4.5261e-03,9.28046,0.555599,2.911647,32.140462,44.8882
130,1.6081e-04,3.3982e-03,10.1125,0.67835,2.884119,34.937533,48.6125
140,1.1752e-04,2.4383e-03,11.3432,0.653636,3.330099,42.016816,57.3438
150,9.5769e-05,1.9937e-03,12.1892,0.681771,3.502245,49.083787,65.457
160,7.7776e-05,1.6471e-03,12.9806,0.707407,3.783681,51.37393,68.8456
170,6.3503e-05,1.3441e-03,12.9497,0.759885,4.258157,58.602812,76.5706
180,5.0095e-05,1.0557e-03,14.2316,0.832002,4.772995,71.028739,90.8653
190,4.1755e-05,8.8424e-04,14.9697,0.811317,4.789486,73.676792,94.2473
200,3.4498e-05,7.3911e-04,16.073,0.871916,5.026551,87.519181,109.491
210,2.8639e-05,6.1449e-04,16.3222,0.922713,6.286292,94.416072,117.947
220,2.4698e-05,5.3983e-04,17.7359,0.987161,5.76238,101.256083,125.742
230,2.0030e-05,4.3951e-04,18.6568,1.033318,6.280786,103.366487,129.337
240,1.7446e-05,3.9024e-04,19.1397,1.045482,6.697993,112.312276,139.195
250,1.4653e-05,3.3342e-04,19.7511,1.103258,7.066461,144.486925,172.408
260,1.2323e-05,2.8743e-04,23.2095,1.638791,7.392587,139.575906,171.817
270,1.0440e-05,2.4315e-04,21.1963,1.089114,7.962255,155.465752,185.713
280,9.4944e-06,2.2473e-04,23.4182,1.174472,9.207137,165.005809,198.806
290,8.1867e-06,1.9415e-04,25.2476,1.222869,8.575521,175.212165,210.258
300,7.1829e-06,1.7199e-04,40.248,3.316395,14.370478,188.823144,246.758
310,6.2440e-06,1.4975e-04,24.4077,1.321205,9.632842,205.004686,240.366
320,5.4993e-06,1.3236e-04,27.4237,1.417541,10.578876,218.813787,258.234
330,5.0997e-06,1.2355e-04,28.4385,1.307826,10.812578,227.200383,267.759
340,4.3247e-06,9.8515e-05,29.9055,1.443252,11.799134,245.792995,288.941
350,3.8278e-06,8.5207e-05,29.6354,1.505606,11.482886,261.158423,303.782
360,3.4458e-06,7.6061e-05,30.5181,1.458044,12.233613,278.933259,323.143
370,3.0973e-06,6.7972e-05,31.1099,1.466113,13.55207,285.460615,331.589
380,2.7951e-06,6.1718e-05,31.5207,1.602491,13.202061,320.440468,366.766
390,2.4763e-06,5.4371e-05,32.7069,1.606234,13.877262,337.578698,385.769
400,2.1311e-06,4.5963e-05,33.9067,1.649477,15.48086,386.439289,437.476
