Magnitude ,S_Size,Eig_cost  ,Assemble  ,"Reduced_K,M ",Solve_Eig     ,Total_Time  ,||Kv/Kv||   ,Exact_Err     ,gt_lambda_min ,gt_lambda_max ,cms_lambda_min,cms_lambda_max,mu        ,sigma
0,450,0.16188,0.011488,0.128707,0.035744,0.326331,3.9149e-01  ,2.2021e-02    ,14.2537,253.488,24.8049,261.469,14.2537,1.40575688e-02
-5,450,0.1638,0.011925,0.135024,0.073844,0.372668,4.2300e-03  ,7.5344e-07    ,14.2537,253.488,14.2543,253.488,0.00014254,1.40575688e-07
-8,450,0.171343,0.01257,0.131221,0.073894,0.376458,4.0985e-03  ,1.6160e-07    ,14.2537,253.488,14.2537,253.488,0.00000014,1.40539197e-10
-2,450,0.163812,0.012505,0.129831,0.069997,0.36364,9.1622e-02  ,3.2368e-04    ,14.2537,253.488,14.4121,253.58,0.142537,1.40575688e-04
-3,450,0.163027,0.013079,0.129898,0.070872,0.363797,3.6164e-02  ,4.5064e-05    ,14.2537,253.488,14.2922,253.498,0.0142537,1.40575688e-05
-7,450,0.163286,0.012745,0.128852,0.073796,0.365934,4.0992e-03  ,1.6054e-07    ,14.2537,253.488,14.2537,253.488,0.00000143,1.40578647e-09
-4,450,0.163925,0.012463,0.131013,0.074329,0.369267,7.6981e-03  ,6.9070e-06    ,14.2537,253.488,14.2598,253.489,0.00142537,1.40575688e-06
-1,450,0.163672,0.012668,0.138457,0.065722,0.367851,1.7331e-01  ,2.7876e-03    ,14.2537,253.488,15.3829,254.384,1.42537,1.40575688e-03
1,450,0.163662,0.013391,0.134384,0.036842,0.334888,8.4032e-01  ,1.6294e-01    ,14.2537,253.488,98.2294,316.121,142.537,1.40575688e-01
-6,450,0.163327,0.012659,0.133941,0.073505,0.370773,4.1072e-03  ,1.7257e-07    ,14.2537,253.488,14.2537,253.488,0.00001425,1.40575688e-08
