index,eigenvalue,residual
0,2.987474196709e+02,5.793093246702e-02
1,3.457763338208e+02,3.575146553665e-02
2,4.036278112474e+02,4.867815740374e-02
3,4.588297918542e+02,4.207536583160e-02
4,7.337868898856e+02,3.130660912400e-02
5,4.303859503594e+03,5.949806101783e-03
6,4.359543635043e+03,4.910748404098e-03
7,6.755687844434e+03,8.811532909530e-03
8,2.882707855822e+04,1.114352537149e-03
9,3.322027116224e+04,8.616318048779e-04
10,6.071859697207e+04,2.158298119717e-04
11,1.000507994307e+05,3.765439288183e-04
12,1.141221009207e+05,2.611885619155e-04
13,1.684020103854e+05,3.638571138614e-05
14,1.761573439655e+05,4.912859389637e-05
15,1.977117027012e+05,1.622403614491e-04
16,2.039145503988e+05,3.021633581855e-04
17,2.102635571362e+05,2.952446365352e-05
18,2.653561903805e+05,1.561979410582e-04
19,2.736081396758e+05,2.195616054264e-05
20,2.792993787727e+05,1.078480555072e-04
21,2.806173592259e+05,3.359743931752e-05
22,2.858003646546e+05,2.154200194554e-05
23,2.960108187622e+05,3.094039662243e-05
24,3.062819484641e+05,3.431943982975e-05
25,3.162602259354e+05,3.878380668028e-05
26,3.305784635302e+05,3.199692711648e-05
27,4.221534916034e+05,1.252745847021e-05
28,4.365276328832e+05,1.275974764852e-05
29,5.502082573650e+05,1.389045339188e-05
30,5.574962334406e+05,1.876257396236e-05
31,5.702514494376e+05,7.481031816799e-05
32,5.810785205049e+05,5.483986300700e-05
33,6.430225053868e+05,1.057452646414e-05
34,6.476043265070e+05,7.797369133098e-06
35,6.739946053588e+05,1.503314099384e-05
36,6.758854247644e+05,1.760774398452e-05
37,7.955832678579e+05,4.476659497256e-05
38,8.294030049888e+05,1.055632657058e-05
39,8.497619931097e+05,1.097293845118e-05
40,9.102448033984e+05,5.998257719676e-05
41,9.430693728846e+05,4.497725510147e-05
42,1.002168123644e+06,3.028658970389e-05
43,1.082497931668e+06,1.505712895608e-05
44,1.171680516835e+06,6.451297469900e-06
45,1.275350067666e+06,2.623552307713e-06
46,1.287783956605e+06,2.543122677902e-06
47,1.373627738412e+06,3.047792144203e-06
48,1.387945639354e+06,4.587098936084e-06
49,1.462525112170e+06,1.148130159562e-05
50,1.472737778054e+06,1.093950383882e-05
51,1.498357462452e+06,5.614832291521e-06
52,1.507763462137e+06,1.540117477450e-05
53,1.577013563250e+06,1.256419784019e-05
54,1.582759900043e+06,1.494990050867e-05
55,1.602219643364e+06,4.920215082125e-06
56,1.662972109572e+06,6.880291610357e-06
