algorithm,conv,time
AMLS,167,380.774758
CB-CMS,164,234.296
CMSINTRD_4_5,189,293.539838
AMLS,13,8.665957
CB-CMS,18,24.652
PD,415,24.106210
AMLS,169,398.274830
CB-CMS,164,234.876
AMLS,170,517.039778
CB-CMS,164,232.63
CMSINTRD_4_5,182,293.629404
AMLS,173,455.573947
CB-CMS,164,233.321
AMLS,174,321.232579
CB-CMS,164,239
CMSINTRD_4_5,207,298.387891
AMLS,175,459.327133
CB-CMS,164,236.876
PD,440,25.533388
AMLS,177,384.630042
CB-CMS,164,234.795
CMSINTRD_4_5,195,298.432367
AMLS,178,459.115903
CB-CMS,164,235.334
AMLS,179,384.508821
CB-CMS,164,237.223
CMSINTRD_4_5,202,293.065001
AMLS,180,433.691463
CB-CMS,164,234.872
AMLS,181,446.828582
CB-CMS,164,234.095
CMSINTRD_4_5,210,292.693435
AMLS,14,9.758627
CB-CMS,19,28.6575
PD,456,27.562460
AMLS,182,480.561325
CB-CMS,176,250.533
AMLS,183,533.620825
CB-CMS,181,261.798
CMSINTRD_4_5,216,333.610323
AMLS,186,420.901030
CB-CMS,186,266.173
AMLS,188,458.526348
CB-CMS,186,266.176
CMSINTRD_4_5,204,348.792429
AMLS,193,482.465764
CB-CMS,186,263.823
PD,486,29.823420
AMLS,196,465.243640
CB-CMS,186,263.215
CMSINTRD_4_5,202,345.997737
AMLS,198,488.750411
CB-CMS,186,265.905
AMLS,199,515.682133
CB-CMS,186,264.062
CMSINTRD_4_5,210,343.602689
AMLS,202,468.527811
CB-CMS,186,265.144
AMLS,204,573.020611
CB-CMS,186,264.577
CMSINTRD_4_5,227,346.670502
AMLS,15,10.101564
CB-CMS,20,30.8056
CMSINTRD_4_5,25,35.665542
PD,499,31.524273
AMLS,206,471.080577
CB-CMS,186,264.661
AMLS,208,622.510153
CB-CMS,186,266.861
CMSINTRD_4_5,224,348.463690
AMLS,213,602.604875
CB-CMS,186,269.334
AMLS,216,527.717742
CB-CMS,192,287.141
CMSINTRD_4_5,241,375.255683
AMLS,219,659.509997
CB-CMS,192,283.588
PD,499,33.832694
AMLS,220,706.469206
CB-CMS,196,293.111
CMSINTRD_4_5,219,393.640626
AMLS,222,648.586979
CB-CMS,196,293.623
AMLS,224,687.565100
CB-CMS,196,291.866
CMSINTRD_4_5,239,401.560824
AMLS,228,602.307460
CB-CMS,196,293.121
AMLS,231,691.098584
CB-CMS,196,295.642
CMSINTRD_4_5,241,394.756723
AMLS,15,11.338653
CB-CMS,20,30.5566
PD,499,33.911341
AMLS,235,647.655044
CB-CMS,196,293.732
AMLS,237,599.454469
CB-CMS,196,294.01
CMSINTRD_4_5,239,398.121089
AMLS,240,726.493211
CB-CMS,196,294.484
AMLS,242,640.720931
CB-CMS,200,310.481
CMSINTRD_4_5,238,393.431343
AMLS,246,734.142662
CB-CMS,208,321.686
PD,499,34.425627
AMLS,249,762.675691
CB-CMS,208,326.75
CMSINTRD_4_5,261,449.421189
AMLS,252,845.129242
CB-CMS,208,326.51
AMLS,254,742.670591
CB-CMS,208,324.258
CMSINTRD_4_5,247,454.050245
AMLS,257,754.435662
CB-CMS,208,325.024
AMLS,259,697.843173
CB-CMS,208,325.775
CMSINTRD_4_5,233,451.112744
AMLS,16,13.045164
CB-CMS,20,35.731
CMSINTRD_4_5,26,26.130113
PD,499,37.416481
AMLS,261,729.088317
CB-CMS,208,324.672
AMLS,264,773.942027
CB-CMS,208,329.591
CMSINTRD_4_5,262,449.797139
AMLS,266,771.181557
CB-CMS,208,326.472
AMLS,269,807.719675
CB-CMS,208,321.299
CMSINTRD_4_5,247,452.560229
AMLS,271,833.348279
CB-CMS,210,336.435
PD,499,39.107803
AMLS,274,973.545009
CB-CMS,222,354.321
CMSINTRD_4_5,276,477.803695
AMLS,277,733.762844
CB-CMS,222,351.789
AMLS,279,871.107004
CB-CMS,222,353.162
CMSINTRD_4_5,288,513.290614
AMLS,280,898.003442
CB-CMS,222,352.752
AMLS,283,813.404723
CB-CMS,222,353.546
CMSINTRD_4_5,265,510.522249
AMLS,16,14.907615
CB-CMS,20,38.1901
PD,499,41.858633
AMLS,285,941.710316
CB-CMS,222,352.067
AMLS,288,854.896483
CB-CMS,222,354.868
CMSINTRD_4_5,282,510.558952
AMLS,291,910.233910
CB-CMS,222,357.822
AMLS,293,772.578688
CB-CMS,222,353.917
CMSINTRD_4_5,275,513.118676
AMLS,296,1031.081395
CB-CMS,222,360.063
PD,499,43.463359
AMLS,297,913.750766
CB-CMS,223,363.587
CMSINTRD_4_5,281,514.129540
AMLS,299,820.609431
CB-CMS,238,392.34
AMLS,301,914.614456
CB-CMS,238,392.433
CMSINTRD_4_5,305,558.220534
AMLS,304,1018.088588
CB-CMS,238,389.527
AMLS,305,997.872809
CB-CMS,238,392.783
CMSINTRD_4_5,284,566.036338
AMLS,21,14.885556
CB-CMS,23,41.3305
CMSINTRD_4_5,30,29.054357
PD,499,45.263435
AMLS,307,940.123522
CB-CMS,238,387.829
AMLS,309,988.249752
CB-CMS,238,396.177
CMSINTRD_4_5,294,569.028499
AMLS,312,898.729956
CB-CMS,238,391.855
AMLS,314,1024.037665
CB-CMS,238,390.972
CMSINTRD_4_5,302,567.925733
AMLS,315,966.781322
CB-CMS,238,389.825
PD,499,46.978544
AMLS,316,940.359247
CB-CMS,238,390.17
CMSINTRD_4_5,314,571.647029
AMLS,319,992.178166
CB-CMS,256,412.014
AMLS,321,1057.758319
CB-CMS,267,424.886
CMSINTRD_4_5,308,533.110027
AMLS,322,851.030755
CB-CMS,267,424.517
AMLS,325,1048.985471
CB-CMS,267,422.74
CMSINTRD_4_5,323,631.732357
AMLS,22,16.807530
CB-CMS,23,46.5346
PD,499,46.755110
AMLS,326,1010.509726
CB-CMS,267,423.654
AMLS,327,1148.856751
CB-CMS,267,419.93
CMSINTRD_4_5,304,612.549512
AMLS,328,928.806514
CB-CMS,267,426.607
AMLS,329,838.099649
CB-CMS,267,421.051
CMSINTRD_4_5,326,663.983789
AMLS,330,1036.165763
CB-CMS,267,422.467
PD,499,52.112725
AMLS,331,968.732628
CB-CMS,267,424.892
CMSINTRD_4_5,298,741.690729
AMLS,332,960.198328
CB-CMS,267,421.529
AMLS,334,1064.883470
CB-CMS,283,448.622
CMSINTRD_4_5,333,780.376440
AMLS,335,1062.391944
CB-CMS,287,456.783
AMLS,336,1014.133047
CB-CMS,287,460.261
CMSINTRD_4_5,332,796.789066
AMLS,24,16.896433
CB-CMS,23,51.9085
CMSINTRD_4_5,33,32.071262
PD,499,51.139985
AMLS,337,928.913336
CB-CMS,287,457.19
AMLS,338,1085.118992
CB-CMS,287,453.745
CMSINTRD_4_5,343,808.139132
AMLS,338,850.645204
CB-CMS,287,457.688
AMLS,340,892.045165
CB-CMS,287,456.454
CMSINTRD_4_5,330,821.302845
AMLS,340,825.056915
CB-CMS,287,462.694
PD,499,55.986961
AMLS,341,925.156249
CB-CMS,287,460.297
CMSINTRD_4_5,329,818.919203
AMLS,343,930.218938
CB-CMS,301,485.72
AMLS,344,1200.264365
CB-CMS,305,492.981
CMSINTRD_4_5,332,879.528335
AMLS,345,1300.420021
CB-CMS,305,488.814
AMLS,348,1161.383560
CB-CMS,305,482.475
CMSINTRD_4_5,345,908.948776
AMLS,26,17.909936
CB-CMS,26,55.7072
PD,499,56.005174
AMLS,350,867.597861
CB-CMS,305,491.648
AMLS,350,1367.374602
CB-CMS,305,490.529
CMSINTRD_4_5,340,922.096374
AMLS,352,971.392781
CB-CMS,305,484.734
AMLS,354,1036.592151
CB-CMS,305,495.621
CMSINTRD_4_5,341,915.014546
AMLS,354,1196.315954
CB-CMS,309,498.891
PD,499,58.227849
AMLS,355,1307.557811
CB-CMS,312,504.91
CMSINTRD_4_5,356,953.198348
AMLS,357,883.711873
CB-CMS,322,524.217
AMLS,359,1097.426298
CB-CMS,322,523.943
CMSINTRD_4_5,379,965.025357
AMLS,362,846.970492
CB-CMS,322,524.223
AMLS,364,853.241093
CB-CMS,322,524.165
CMSINTRD_4_5,381,997.859349
AMLS,28,20.266893
CB-CMS,26,61.3935
CMSINTRD_4_5,37,35.575828
PD,499,59.450882
AMLS,365,853.511509
CB-CMS,322,527.608
AMLS,367,918.524703
CB-CMS,322,523.906
CMSINTRD_4_5,381,1003.106818
AMLS,369,884.247570
CB-CMS,322,521.146
AMLS,370,896.073375
CB-CMS,322,527.162
CMSINTRD_4_5,358,995.765058
AMLS,372,918.813832
CB-CMS,323,524.669
PD,499,63.843659
AMLS,375,996.361901
CB-CMS,330,532.764
CMSINTRD_4_5,364,1042.392630
AMLS,375,928.358325
CB-CMS,336,560.903
AMLS,375,980.877293
CB-CMS,338,555.401
CMSINTRD_4_5,322,979.652169
AMLS,376,966.373684
CB-CMS,338,561.923
AMLS,379,922.765497
CB-CMS,338,558.605
