algorithm,nev,time
AMLS,13.0,8.665957
AMLS,14.0,9.758627
AMLS,15.0,10.101564
AMLS,16.0,13.045164
AMLS,21.0,14.885556
AMLS,22.0,16.80753
AMLS,24.0,16.896433
AMLS,26.0,17.909936
AMLS,28.0,20.266893
AMLS,30.0,21.838996
AMLS,33.0,27.472052
AMLS,35.0,30.903405
AMLS,36.0,27.583243
AMLS,37.0,33.333186
AMLS,40.0,31.738293
AMLS,41.0,37.299275
AMLS,42.0,37.508778
AMLS,43.0,45.606446
AMLS,44.0,42.452208
AMLS,46.0,52.163312
AMLS,48.0,50.324324
AMLS,52.0,49.352548
AMLS,55.0,62.426773
AMLS,59.0,56.130038
AMLS,61.0,60.648016
AMLS,65.0,61.019678
AMLS,68.0,69.055758
AMLS,69.0,63.372146
AMLS,71.0,74.796021
AMLS,73.0,98.598634
AMLS,75.0,88.123407
AMLS,77.0,99.747926
AMLS,80.0,101.86694
AMLS,81.0,98.322641
AMLS,83.0,103.170975
AMLS,84.0,116.968086
AMLS,85.0,121.637954
AMLS,86.0,110.331112
AMLS,88.0,127.193725
AMLS,91.0,130.258052
AMLS,93.0,127.123884
AMLS,95.0,128.472251
AMLS,97.0,138.34207
AMLS,100.0,155.560618
AMLS,101.0,151.269336
AMLS,105.0,156.861193
AMLS,108.0,171.983997
AMLS,109.0,151.596044
AMLS,112.0,144.926051
AMLS,114.0,176.120133
AMLS,116.0,201.850883
AMLS,118.0,184.800511
AMLS,120.0,171.956188
AMLS,122.0,193.638018
AMLS,125.0,187.822196
AMLS,128.0,193.99365
AMLS,131.0,175.675466
AMLS,133.0,201.876624
AMLS,134.0,208.138871
AMLS,135.0,245.582216
AMLS,136.0,205.226627
AMLS,139.0,217.839645
AMLS,140.0,250.462835
AMLS,141.0,237.785255
AMLS,143.0,249.542772
AMLS,144.0,233.737462
AMLS,145.0,254.770585
AMLS,148.0,228.454387
AMLS,149.0,228.742858
AMLS,151.0,276.844251
AMLS,153.0,293.117272
AMLS,154.0,332.303569
AMLS,156.0,311.533127
AMLS,159.0,373.629515
AMLS,160.0,422.84639
AMLS,161.0,388.746559
AMLS,163.0,412.885863
AMLS,165.0,351.846179
AMLS,167.0,380.774758
AMLS,169.0,398.27483
AMLS,170.0,517.039778
AMLS,173.0,455.573947
AMLS,174.0,321.232579
AMLS,175.0,459.327133
AMLS,177.0,384.630042
AMLS,178.0,459.115903
AMLS,179.0,384.508821
AMLS,180.0,433.691463
AMLS,181.0,446.828582
AMLS,182.0,480.561325
AMLS,183.0,533.620825
AMLS,186.0,420.90103
AMLS,188.0,458.526348
AMLS,193.0,482.465764
AMLS,196.0,465.24364
AMLS,198.0,488.750411
AMLS,199.0,515.682133
AMLS,202.0,468.527811
AMLS,204.0,573.020611
AMLS,206.0,471.080577
AMLS,208.0,622.510153
AMLS,213.0,602.604875
AMLS,216.0,527.717742
AMLS,219.0,659.509997
AMLS,220.0,706.469206
AMLS,222.0,648.586979
AMLS,224.0,687.5651
AMLS,228.0,602.30746
AMLS,231.0,691.098584
AMLS,235.0,647.655044
AMLS,237.0,599.454469
AMLS,240.0,726.493211
AMLS,242.0,640.720931
AMLS,246.0,734.142662
AMLS,249.0,762.675691
AMLS,252.0,845.129242
AMLS,254.0,742.670591
AMLS,257.0,754.435662
AMLS,259.0,697.843173
AMLS,261.0,729.088317
AMLS,264.0,773.942027
AMLS,266.0,771.181557
AMLS,269.0,807.719675
AMLS,271.0,833.348279
AMLS,274.0,973.545009
AMLS,277.0,733.762844
AMLS,279.0,871.107004
