NEP,np,error_2norm,error_mean,t_sub,t_ifc,t_red_c,t_red_s,t_total,t_gt
40,4,3.4673,0.098833,122.4363,24.00772,22.201093,2.767398,171.412511,583.548198
40,8,23.648,0.29734,75.1269,16.323927,48.034154,6.337202,145.822183,792.923202
40,16,123.85,1.7539,37.6503,18.796911,192.731529,29.536098,278.714838,879.031218
80,4,0.44457,0.0040332,267.913,28.684125,36.795899,9.352649,342.745673,646.995632
80,8,13.371,0.13989,190.1025,23.379664,153.481713,38.582418,405.54629500000004,845.589615
80,16,74.889,1.0493,110.1739,30.38049,389.618376,107.646727,637.819493,947.54953
120,4,0.1057,0.0007989,510.445,33.101006,58.849101,22.232011,624.6271180000001,670.012477
120,8,8.9622,0.087308,201.1761,23.286419,251.93235,78.396479,554.791348,554.204431
120,16,53.799,0.69334,95.3928,18.100482,295.249255,127.655143,536.3976799999999,469.86586
160,4,0.029088,0.00022669,467.81600000000003,42.26912,92.139772,47.872463,650.097355,538.332245
160,8,5.8284,0.048342,341.726,39.163355,366.406994,130.420739,877.717088,841.314334
160,16,44.071,0.53892,133.12060000000002,21.864084,418.915865,224.523974,798.4245229999999,461.460484
200,4,0.013555,0.00010012,500.223,38.044613,107.511535,92.716659,738.495807,517.62428
200,8,3.758,0.029576,405.54499999999996,38.87482,377.043763,235.399222,1056.862805,857.746349
200,16,38.536,0.45701,168.8073,25.196261,559.773936,334.328771,1088.106268,449.119515
